classname           z_sdss  z_shen 
 GB6J092633+543856  0.41251 0.41230 
 GB6J092638+541142  1.76662 0.00000 
 GB6J092703+390218  0.69590 0.69670 
 GB6J092710+461621  1.26077 0.00000 
 GB6J092713+093801  0.51395 0.00000 
 GB6J092720+440220  2.33555 0.00000 
 GB6J092723+245625  3.72653 0.00000 
 GB6J092726+383606  2.61463 2.61950 
 GB6J092740+303427  1.21124 1.21230 
 GB6J092804+055023  1.96207 1.95710 
 GB6J092823+444558  1.90253 1.90320 
 GB6J092855+440916  1.17183 1.17570 
 GB6J092856+644356  0.92320 0.92010 
 GB6J092857+073643  0.72927 0.72960 
 GB6J092914+501323  1.40785 0.00000 
 GB6J092915+253659  0.53888 0.53840 
 GB6J092925+201853  2.17802 2.18120 
 GB6J092926+103302  0.51489 0.00000 
 GB6J092932+625637  0.12064 0.00000 
 GB6J093035+464408  2.03205 2.03290 
 GB6J093042+212854  1.99264 1.98900 
 GB6J093050+003456  1.76960 1.76940 
 GB6J093106+141415  1.09831 1.09970 
 GB6J093128+484050  2.09479 2.10130 
 GB6J093149+275039  2.34651 0.00000 
 GB6J093152+193628  0.19326 0.00000 
 GB6J093208+363013  0.15384 0.00000 
 GB6J093215+283728  0.30323 0.00000 
 GB6J093239+104304  2.92679 0.00000 
 GB6J093240+530635  0.59701 0.59690 
 GB6J093257+074200  1.00324 1.00370 
 GB6J093309+610635  1.91304 1.91080 
 GB6J093330+414902  0.93225 0.93250 
 GB6J093346+100924  0.01078 0.00000 
 GB6J093405+392619  1.96652 0.00000 
 GB6J093415+490815  2.58341 0.00000 
 GB6J093417+241348  0.05040 0.00000 
 GB6J093453+160408  3.07812 3.06870 
 GB6J093513+091513  1.48072 1.48430 
 GB6J093517+171952  0.09093 0.00000 
 GB6J093523+240508  2.75095 2.75260 
 GB6J093524+112332  0.20505 0.00000 
 GB6J093527+104637  1.45631 0.00000 
 GB6J093530+192929  1.10113 1.10240 
 GB6J093531+363307  2.85458 2.85760 
 GB6J093608+331306  0.07615 0.00000 
 GB6J093627+185005  0.00107 0.00000 
 GB6J093711+500845  0.27546 0.27570 
 GB6J093714+461708  2.16895 0.00000 
 GB6J093838+393413  2.49941 0.00000 
 GB6J093901+290833  1.55543 0.00000 
 GB6J093910+032644  2.63676 2.63830 
 GB6J093910+641447  2.34583 2.35580 
 GB6J093913+165649  0.50161 0.50150 
 GB6J093942+353038  1.47285 1.47420 
 GB6J093949+414201  1.22288 1.22340 
 GB6J093951+355433  0.13657 0.00000 
 GB6J094005+510358  0.20661 0.00000 
 GB6J094012+262721  0.63559 0.63560 
 GB6J094014+260338  0.72634 0.00000 
 GB6J094017+232837  1.98924 1.97440 
 GB6J094019+301504  1.59458 1.59470 
 GB6J094114+114536  3.19389 3.19460 
 GB6J094115+184514  2.09811 2.10450 
 GB6J094139+085052  0.93819 0.93940 
 GB6J094147+272813  1.30868 1.30630 
 GB6J094149+412110  0.81597 0.00000 
 GB6J094154+272159  0.63098 0.00000 
 GB6J094204+593731  0.53555 0.00000 
 GB6J094243+121637  2.79409 0.00000 
 GB6J094248+041024  1.67693 1.67850 
 GB6J094308+022222  0.31481 0.00000 
 GB6J094308+295150  0.29942 0.00000 
 GB6J094314+615042  0.75301 0.00000 
 GB6J094317+170206  1.60084 0.00000 
 GB6J094319+361447  0.02234 0.00000 
 GB6J094334+463342  3.20266 0.00000 
 GB6J094408+145131  3.44429 0.00000 
 GB6J094417+500757  1.28786 0.00000 
 GB6J094421+613543  0.79123 0.79200 
 GB6J094429+031446  0.34096 0.00000 
 GB6J094437+463837  1.57697 0.00000 
 GB6J094451+520237  0.56298 0.00000 
 GB6J094522+365538  2.42949 0.00000 
 GB6J094538+353452  1.12743 1.12680 
 GB6J094542+463648  0.63862 0.00000 
 GB6J094542+575739  0.22893 0.00000 
 GB6J094557+461907  0.09560 0.00000 
 GB6J094557+601240  2.52551 2.50980 
 GB6J094614+581932  0.14693 0.00000 
 GB6J094635+101659  1.00397 1.00550 
 GB6J094646+431747  1.48427 1.48990 
 GB6J094658+033441  0.28335 0.00000 
 GB6J094733+511529  1.93321 1.93130 
 GB6J094737+221509  0.00049 0.00000 
 GB6J094745+111348  1.77402 1.77310 
 GB6J094832+553538  0.11762 0.00000 
 GB6J094844+160858  1.72320 1.72390 
 GB6J094855+403956  1.25027 1.24860 
 GB6J094857+002224  0.58384 0.58460 
 GB6J094901+195914  0.33144 0.00000 
 GB6J094905+274614  0.63321 0.00000 
 GB6J094919+603912  2.47253 0.00000 
 GB6J094934+232929  0.66485 0.00000 
 GB6J094938+175256  0.69345 0.69330 
 GB6J094941+581906  1.42438 0.00000 
 GB6J094947+235828  3.62672 0.00000 
 GB6J094953+070053  3.12937 0.00000 
 GB6J095001+180424  0.15440 0.00000 
 GB6J095004+061515  4.61636 0.00000 
 GB6J095010+455310  0.39992 0.00000 
 GB6J095034+274319  2.35997 2.35600 
 GB6J095111+345120  0.35833 0.00000 
 GB6J095146+173616  0.89595 0.89460 
 GB6J095207+235248  0.96956 0.97090 
 GB6J095226+360613  2.06016 2.06110 
 GB6J095227+504837  1.09133 1.09070 
 GB6J095232+351253  1.87906 1.87760 
 GB6J095249+135222  0.42036 0.00000 
 GB6J095328+322552  1.57478 1.57490 
 GB6J095358+172116  0.71229 0.71310 
 GB6J095450+552252  0.90353 0.00000 
 GB6J095457+174329  1.47363 1.47530 
 GB6J095505+483820  0.53442 0.00000 
 GB6J095537+333522  2.50075 2.49110 
 GB6J095546+374804  2.28965 2.29170 
 GB6J095551+500137  2.11624 2.11830 
 GB6J095607+393524  1.17301 1.17290 
 GB6J095617+373246  3.24522 0.00000 
 GB6J095619+511012  0.39993 0.00000 
 GB6J095623+575348  1.76948 1.77410 
 GB6J095631+404640  1.50200 1.51030 
 GB6J095647+095414  1.97835 1.97810 
 GB6J095650+251511  0.70762 0.70800 
 GB6J095707+235617  2.78240 1.99760 
 GB6J095736+552258  0.90343 0.89930 
 GB6J095737+074102  1.66820 1.66950 
 GB6J095740+111623  0.27649 0.00000 
 GB6J095749+074516  0.83909 0.83870 
 GB6J095754+121611  0.61647 0.00000 
 GB6J095800+261335  1.71214 0.00000 
 GB6J095801+263949  0.70382 0.70350 
 GB6J095819+472514  1.88409 1.88150 
 GB6J095821+322351  0.53061 0.53060 
 GB6J095838+504007  1.15353 0.00000 
 GB6J095840+565225  1.60376 1.60150 
 GB6J095855+423653  0.66450 0.66410 
 GB6J095858+294759  2.07034 2.07420 
 GB6J095907+051016  0.99611 0.99700 
 GB6J095929+264557  2.60346 2.60240 
 GB6J095931+212325  0.36510 0.00000 
 GB6J095938+041652  1.99998 1.99420 
 GB6J095955+244948  1.47843 1.48030 
 GB6J100014+422358  0.50455 0.00000 
 GB6J100023+590448  3.50205 0.00000 
 GB6J100027+494227  0.35630 0.00000 
 GB6J100029+275159  1.20403 1.20420 
 GB6J100035+132440  1.35580 1.35150 
 GB6J100048+574602  0.63976 0.00000 
 GB6J100054+580519  1.49754 0.00000 
 GB6J100055+533158  1.34468 1.34670 
 GB6J100123+470638  2.27378 0.00000 
 GB6J100124+481507  1.92369 1.90780 
 GB6J100144+004911  2.80076 0.00000 
 GB6J100157+101552  1.53253 1.53240 
 GB6J100252+121603  0.86118 0.00000 
 GB6J100302+165331  0.55019 0.00000 
 GB6J100308+681313  0.77048 0.77090 
 GB6J100313+284547  2.24045 2.24470 
 GB6J100327+565839  0.89300 0.88430 
 GB6J100358+324403  1.68580 1.68530 
 GB6J100404+054434  0.36184 0.00000 
 GB6J100405+485646  0.38854 0.00000 
 GB6J100411+395707  0.53416 0.00000 
 GB6J100441+403717  0.49989 0.49900 
 GB6J100447+081514  0.17334 0.00000 
 GB6J100505+501933  2.01786 2.02320 
 GB6J100516+615443  2.31116 2.74030 
 GB6J100553+185326  0.18725 0.00000 
 GB6J100555+433216  1.58116 1.58660 
 GB6J100632+171326  0.82147 0.00000 
 GB6J100709+133606  0.92730 0.92820 
 GB6J100712+502346  0.13255 0.00000 
 GB6J100717+225949  2.26103 0.00000 
 GB6J100724+580201  3.76802 0.00000 
 GB6J100738+233730  2.97671 2.96580 
 GB6J100741+135623  2.71884 2.72110 
 GB6J100801+062126  1.36459 0.00000 
 GB6J100810+361032  0.22115 0.00000 
 GB6J100811+565723  1.88760 1.88640 
 GB6J100817+193334  0.56372 0.56420 
 GB6J100819+253332  1.96949 1.95970 
 GB6J100837+251411  1.77585 1.77390 
 GB6J100841+621941  1.87738 1.87440 
 GB6J100900+132247  0.22295 0.00000 
 GB6J101001+014510  1.20882 0.00000 
 GB6J101028+413230  0.61240 0.61240 
 GB6J101058+381734  0.82582 0.82600 
 GB6J101109+423943  3.56223 3.57570 
 GB6J101113+191403  0.14874 0.00000 
 GB6J101114+010643  6.62786 0.00000 
 GB6J101121+470034  2.93682 2.91250 
 GB6J101123+050300  0.75485 0.00000 
 GB6J101206+161934  0.25922 0.00000 
 GB6J101210+130145  1.83514 0.00000 
 GB6J101211+330936  2.25430 2.25310 
 GB6J101213+063051  0.72695 0.00000 
 GB6J101216+231202  0.74983 0.00000 
 GB6J101240+243904  1.80891 0.00000 
 GB6J101244+423009  0.36491 0.00000 
 GB6J101302+352605  2.64532 2.64900 
 GB6J101329+491851  2.19938 2.20120 
 GB6J101342+254524  1.10482 1.10450 
 GB6J101349+344534  1.41075 1.40950 
 GB6J101353+244916  1.63494 1.63430 
 GB6J101414+550334  4.04657 0.00000 
 GB6J101434+040846  2.71798 0.00000 
 GB6J101438+053756  2.02203 2.01350 
 GB6J101446+230101  0.56626 0.56610 
 GB6J101457+381305  1.92442 1.92680 
 GB6J101543+122701  3.01404 0.00000 
 GB6J101546+475738  2.49329 0.00000 
 GB6J101557+010919  0.77951 0.77990 
 GB6J101559+233632  0.01936 0.00000 
 GB6J101602+051304  1.70153 1.71370 
 GB6J101619+230745  1.26656 1.26570 
 GB6J101620+101352  2.29768 0.00000 
 GB6J101631+435655  0.69479 0.69460 
 GB6J101644+203741  3.11552 3.11860 
 GB6J101708+595907  0.27606 0.00000 
 GB6J101722+165212  0.87718 0.87620 
 GB6J101726+611633  2.76831 2.80520 
 GB6J101727+432851  1.17467 1.17420 
 GB6J101803+265001  1.80949 1.80100 
 GB6J101811+354229  1.22951 1.22810 
 GB6J101820+071503  1.54007 1.53190 
 GB6J101825+602115  1.84553 1.84430 
 GB6J101827+053022  1.94766 1.93830 
 GB6J101841+450843  2.45695 0.00000 
 GB6J101858+103559  0.65957 0.00000 
 GB6J101922+004520  0.37378 0.00000 
 GB6J101937+181548  0.11502 0.00000 
 GB6J101939+044333  2.29347 0.00000 
 GB6J101950+631956  1.34359 0.00000 
 GB6J101953+375023  2.43321 2.41280 
 GB6J101955+252233  1.41227 1.41230 
 GB6J102016+220919  0.31429 0.00000 
 GB6J102027+432106  1.96204 1.96380 
 GB6J102033+585843  3.42104 0.00000 
 GB6J102105+452332  0.36405 0.36440 
 GB6J102107+220904  4.26212 0.00000 
 GB6J102117+343716  1.40556 1.40520 
 GB6J102200+500244  2.55945 0.00000 
 GB6J102310+100203  0.72127 0.00000 
 GB6J102310+394759  1.25449 0.00000 
 GB6J102317+411425  0.42057 0.00000 
 GB6J102334+395304  1.33282 1.33130 
 GB6J102421+382707  0.20520 0.00000 
 GB6J102428+053041  1.48026 1.48320 
 GB6J102445+191218  0.82766 0.82780 
 GB6J102454+233231  0.16462 0.00000 
 GB6J102521+372641  0.04472 0.00000 
 GB6J102524+254149  0.45712 0.00000 
 GB6J102545+102246  0.04568 0.00000 
 GB6J102623+254255  5.27746 5.30350 
 GB6J102625+592417  2.32690 0.00000 
 GB6J102639+042424  1.50765 1.50760 
 GB6J102643+644825  1.69234 1.68330 
 GB6J102644+365809  3.24799 3.21460 
 GB6J102648+590624  3.40715 0.00000 
 GB6J102712+480323  1.28577 1.28650 
 GB6J102817+310746  0.24015 0.00000 
 GB6J102822+240105  1.87340 1.87330 
 GB6J102826+321601  1.82047 1.81770 
 GB6J102829+355314  2.59481 0.00000 
 GB6J102832+465748  2.49796 2.50010 
 GB6J102839+170148  0.16905 0.00000 
 GB6J102846+412721  2.82192 0.00000 
 GB6J102905+051237  0.17746 0.00000 
 GB6J102910+291110  2.45058 0.00000 
 GB6J102921+051938  1.37799 0.00000 
 GB6J102947+140530  0.19794 0.00000 
 GB6J102959+322407  1.18301 1.18530 
 GB6J103034+513236  0.51833 0.00000 
 GB6J103038+085340  1.74862 1.74990 
 GB6J103038+580612  0.50444 0.50420 
 GB6J103045+255516  0.69146 0.69160 
 GB6J103053+411300  0.09212 0.00000 
 GB6J103058+310255  0.17806 0.17810 
 GB6J103144+602030  1.23057 1.22980 
 GB6J103213+275616  0.08519 0.00000 
 GB6J103214+635927  0.55573 0.55630 
 GB6J103220+030953  0.32324 0.00000 
 GB6J103244+082516  0.29595 0.00000 
 GB6J103248+351910  0.33295 0.00000 
 GB6J103249+070552  0.11497 0.00000 
 GB6J103303+411559  1.11744 1.11670 
 GB6J103303+564334  0.04484 0.00000 
 GB6J103318+422228  0.21103 0.00000 
 GB6J103325+363444  1.14897 1.14930 
 GB6J103333+071135  0.61409 0.00000 
 GB6J103336+452220  1.25239 0.00000 
 GB6J103352+605117  1.40772 1.40090 
 GB6J103424+072123  0.45001 0.00000 
 GB6J103505+122836  1.33498 1.33460 
 GB6J103506+565257  1.85951 1.85610 
 GB6J103507+562846  0.46021 0.00000 
 GB6J103511+340629  0.67879 0.00000 
 GB6J103511+351009  1.96199 1.96240 
 GB6J103531+423043  2.43224 2.44010 
 GB6J103533+440946  0.44366 0.00000 
 GB6J103545+143310  0.61082 0.00000 
 GB6J103550+375646  1.51047 1.51360 
 GB6J103555+542553  0.35107 0.00000 
 GB6J103605+000606  0.09683 0.00000 
 GB6J103614+153841  1.82548 1.82220 
 GB6J103626+132627  3.10107 3.09420 
 GB6J103633+220308  0.59506 0.59480 
 GB6J103636+240529  1.01087 1.01130 
 GB6J103640+123326  0.00011 0.00000 
 GB6J103653+444832  0.12743 0.00000 
 GB6J103715+465007  2.15716 0.00000 
 GB6J103738+042401  2.32831 0.00000 
 GB6J103740+544112  2.57309 0.00000 
 GB6J103742+571158  0.00241 0.00000 
 GB6J103822+134710  0.94653 0.94740 
 GB6J103833+164050  0.14640 0.00000 
 GB6J103901+421554  0.46498 0.46540 
 GB6J103909+385112  0.33388 0.00000 
 GB6J103937+182036  0.17047 0.00000 
 GB6J103941+114551  1.87976 1.87660 
 GB6J103941+242236  1.17386 1.17490 
 GB6J103951+405557  0.07529 0.00000 
 GB6J104006+105829  1.58771 0.00000 
 GB6J104036+554032  1.64164 0.00000 
 GB6J104125+132521  0.37476 0.00000 
 GB6J104146+523332  0.67842 0.67860 
 GB6J104207+293822  2.55524 2.56170 
 GB6J104217+430248  0.57396 0.00000 
 GB6J104228+381102  2.64477 2.62590 
 GB6J104309+240833  1.82526 0.00000 
 GB6J104406+295921  2.98285 2.98270 
 GB6J104410+532220  1.90261 1.90340 
 GB6J104416+603710  1.05381 0.00000 
 GB6J104420+030559  0.44310 0.00000 
 GB6J104454+075030  1.93283 1.93120 
 GB6J104456+065528  2.07332 0.68970 
 GB6J104504+083704  0.63896 0.00000 
 GB6J104533+325750  1.43282 1.43250 
 GB6J104546+150327  2.49219 0.00000 
 GB6J104552+062437  1.50787 1.50910 
 GB6J104552+142425  0.51371 0.00000 
 GB6J104609+165518  0.20687 0.00000 
 GB6J104620+342714  1.19611 1.19640 
 GB6J104623+535438  1.70725 1.71170 
 GB6J104630+544953  0.24919 0.00000 
 GB6J104631+543603  0.14475 0.00000 
 GB6J104638+114626  0.05479 0.00000 
 GB6J104646+034928  3.21596 0.00000 
 GB6J104719+582133  1.22211 1.22220 
 GB6J104732+483533  0.86653 0.86650 
 GB6J104735+263531  2.56360 0.00000 
 GB6J104807+005534  0.25246 0.00000 
 GB6J104818+390345  0.59781 0.00000 
 GB6J104831+211600  1.48469 1.48100 
 GB6J104847+070259  2.46417 0.00000 
 GB6J104910+373742  3.00565 3.00570 
 GB6J104937+033611  0.73393 0.00000 
 GB6J104938+154820  0.00014 0.00000 
 GB6J104942+133258  2.76544 2.76520 
 GB6J105008+043237  1.21581 1.21580 
 GB6J105023+252608  2.17128 2.17130 
 GB6J105028+490447  1.86481 1.86540 
 GB6J105049+313415  1.33926 0.00000 
 GB6J105101+202732  1.03792 0.00000 
 GB6J105115+464439  0.00018 1.42000 
 GB6J105124+184421  1.11292 0.00000 
 GB6J105147+211933  1.30098 1.30040 
 GB6J105203+424203  0.13624 0.00000 
 GB6J105225+373031  0.37417 0.37390 
 GB6J105237+313436  1.69299 1.68600 
 GB6J105239+052502  1.72210 1.72690 
 GB6J105250+335510  1.40527 1.40020 
 GB6J105326+184200  0.66624 0.00000 
 GB6J105331+201724  3.35768 0.00000 
 GB6J105335+190019  2.57704 0.00000 
 GB6J105344+493006  0.14044 0.00000 
 GB6J105415+194454  2.57893 0.00000 
 GB6J105426+270256  1.40064 1.39910 
 GB6J105430+221054  1.44634 0.00000 
 GB6J105430+385500  1.36784 1.36620 
 GB6J105433+392803  2.63435 0.00000 
 GB6J105437+551215  3.31440 3.30900 
 GB6J105443+150710  0.58121 0.00000 
 GB6J105508+091452  0.16688 0.00000 
 GB6J105531+050152  1.25707 1.25700 
 GB6J105625+164430  0.09456 0.00000 
 GB6J105645+055408  0.57512 0.57460 
 GB6J105651+515519  2.47632 0.00000 
 GB6J105653+051709  0.45632 0.45610 
 GB6J105712+162228  0.79180 0.79230 
 GB6J105720+301254  0.24529 0.00000 
 GB6J105721+045521  1.33401 1.33550 
 GB6J105727+072632  0.39791 0.00000 
 GB6J105730+405631  0.02509 0.00000 
 GB6J105734+161007  2.15920 0.00000 
 GB6J105751+022747  1.42991 1.44110 
 GB6J105755+083757  0.21960 0.00000 
 GB6J105809+335247  0.26510 0.00000 
 GB6J105817+195216  1.11592 1.11490 
 GB6J105830+013340  0.89279 0.00000 
 GB6J105837+562817  0.14324 0.00000 
 GB6J105858+044350  2.61911 2.63380 
 GB6J105908+324036  1.14339 1.14480 
 GB6J105915+051736  0.03532 0.00000 
 GB6J105931+242955  0.90635 0.90710 
 GB6J105940+205723  0.39261 0.39210 
 GB6J110011+084606  0.10043 0.00000 
 GB6J110021+162845  0.91997 0.92000 
 GB6J110122+415840  1.45978 1.47120 
 GB6J110139+400425  0.45686 0.00000 
 GB6J110151+164108  0.06908 0.00000 
 GB6J110153+624155  0.66438 0.66410 
 GB6J110206+112137  2.35016 2.35030 
 GB6J110206+161456  2.91194 0.00000 
 GB6J110212+284026  1.74237 1.74700 
 GB6J110213+275650  1.86848 1.86790 
 GB6J110214+075403  2.39876 0.00000 
 GB6J110223+053749  1.18367 0.00000 
 GB6J110242+594132  1.83002 0.00000 
 GB6J110303+115820  0.91297 0.91220 
 GB6J110313+301453  0.38400 0.38410 
 GB6J110315+184057  2.50137 2.61560 
 GB6J110326+461350  1.17825 1.17980 
 GB6J110344+023216  2.51002 2.51400 
 GB6J110355+002316  0.27454 0.00000 
 GB6J110405+454420  1.42513 0.00000 
 GB6J110407+191656  0.40599 0.00000 
 GB6J110421+343137  1.58870 1.59010 
 GB6J110424+073058  4.26395 0.00000 
 GB6J110434+212411  0.18770 0.18770 
 GB6J110452+011903  0.57515 0.57350 
 GB6J110454+603857  1.36497 1.36230 
 GB6J110508+465311  0.11247 0.00000 
 GB6J110511+630328  1.46410 0.00000 
 GB6J110513+010841  1.44846 1.45150 
 GB6J110538+020254  0.10559 0.10550 
 GB6J110552+394649  0.09914 0.00000 
 GB6J110552+532039  1.73600 1.73840 
 GB6J110606+281246  0.84249 0.84430 
 GB6J110616+552708  0.99308 0.99450 
 GB6J110620+094707  1.56135 0.00000 
 GB6J110626+171331  2.21372 0.00000 
 GB6J110636+362648  1.55901 1.55520 
 GB6J110652+141220  0.04509 0.00000 
 GB6J110657+603345  0.12961 0.00000 
 GB6J110715+162801  0.63059 0.63020 
 GB6J110726+574142  3.03574 3.03040 
 GB6J110735+022206  0.39884 0.00000 
 GB6J110736+090110  1.22731 1.22660 
 GB6J110747+170924  2.43899 0.00000 
 GB6J110748+150151  1.45044 0.00000 
 GB6J110755+154026  0.17838 0.00000 
 GB6J110836+081101  1.12470 0.00000 
 GB6J110839+255603  0.73173 0.73220 
 GB6J110845+020243  0.15764 0.00000 
 GB6J110855+071057  2.70233 0.00000 
 GB6J110900+392605  1.19598 0.00000 
 GB6J110914+144500  1.42726 1.42700 
 GB6J110934+665240  1.36764 1.36620 
 GB6J110941+022335  0.65196 0.00000 
 GB6J111042+455745  1.96538 0.00000 
 GB6J111050+045621  2.20559 2.20800 
 GB6J111057+170523  0.63040 0.00000 
 GB6J111106+522751  1.28382 1.28080 
 GB6J111113+284138  0.02875 0.00000 
 GB6J111118+153015  0.52593 0.52590 
 GB6J111125+265738  0.03352 0.00000 
 GB6J111132+325248  2.36171 0.00000 
 GB6J111135+345953  3.05375 0.00000 
 GB6J111206+111407  0.08418 0.00000 
 GB6J111216+112934  1.13148 1.13210 
 GB6J111219+614901  2.23668 2.23280 
 GB6J111231+313547  2.44135 0.00000 
 GB6J111239+344642  1.95297 1.95580 
 GB6J111358+144221  0.86579 0.86600 
 GB6J111459+352022  0.41449 0.00000 
 GB6J111506+041137  0.64673 0.00000 
 GB6J111533+462024  1.02417 0.00000 
 GB6J111543+214719  2.43395 2.43130 
 GB6J111550+052944  0.64113 0.00000 
 GB6J111557+242956  0.37395 0.37420 
 GB6J111634+071725  0.64036 0.00000 
 GB6J111644+285204  2.58785 0.00000 
 GB6J111701+131118  3.62590 3.62390 
 GB6J111707+201405  0.13799 0.13800 
 GB6J111718+095723  0.07891 0.00000 
 GB6J111749+135547  3.31455 0.00000 
 GB6J111753+412014  2.21823 2.22130 
 GB6J111817+553415  2.07313 0.00000 
 GB6J111856+233325  2.46879 0.00000 
 GB6J111857+123442  2.12528 2.12880 
 GB6J111912+623938  0.11019 0.00000 
 GB6J111914+600459  2.63224 2.64730 
 GB6J111922+464717  1.53962 1.54720 
 GB6J111928+222644  0.41990 0.41910 
 GB6J111931+085311  0.36669 0.00000 
 GB6J111953+165647  0.95114 0.00000 
 GB6J112021+110429  0.49515 0.49550 
 GB6J112023+540428  0.92216 0.92270 
 GB6J112039+070431  1.34408 0.00000 
 GB6J112047+421206  0.57263 0.00000 
 GB6J112130+270433  1.89052 1.88200 
 GB6J112155+223628  2.02736 0.00000 
 GB6J112157+431459  0.18536 0.00000 
 GB6J112229+180526  1.04094 1.04140 
 GB6J112322+462028  0.54444 0.00000 
 GB6J112336+504546  2.27209 2.27130 
 GB6J112338+052053  2.18346 2.18050 
 GB6J112340+155358  3.39047 3.42050 
 GB6J112402+233643  1.55463 0.00000 
 GB6J112413+513350  0.23499 0.00000 
 GB6J112431+230745  0.79488 0.00000 
 GB6J112518+263752  1.26086 1.26070 
 GB6J112540+044647  2.34468 0.00000 
 GB6J112542+000111  1.69261 1.68900 
 GB6J112548+405420  0.45228 0.00000 
 GB6J112551+382232  0.06178 0.00000 
 GB6J112554+261017  2.34997 2.35020 
 GB6J112557+200604  0.13297 0.00000 
 GB6J112651+062605  2.74118 0.00000 
 GB6J112657+451557  1.81311 1.81150 
 GB6J112700+023117  1.65366 1.65400 
 GB6J112729+375611  0.44831 0.00000 
 GB6J112732+111714  1.10110 1.10170 
 GB6J112735+055542  0.75493 0.00000 
 GB6J112739+565013  2.89261 0.00000 
 GB6J112749+014706  0.43401 0.00000 
 GB6J112749+383155  0.48225 0.00000 
 GB6J112758+362028  0.88433 0.00000 
 GB6J112812+592505  1.79877 0.00000 
 GB6J112815+225202  1.07956 1.08090 
 GB6J112831+324342  0.36957 0.00000 
 GB6J112834+210236  1.51046 1.51340 
 GB6J112846+141646  1.36262 1.36110 
 GB6J112850+232603  3.04227 3.04860 
 GB6J112907+164327  1.99663 1.99670 
 GB6J112910+273315  0.07324 0.00000 
 GB6J112913+095157  1.51543 1.51890 
 GB6J112915+562813  2.76869 0.00000 
 GB6J112916+370317  1.34719 0.00000 
 GB6J112938+303619  5.45085 0.00000 
 GB6J112940+440402  2.21576 2.21170 
 GB6J112955+364924  0.39862 0.39850 
 GB6J113012+235807  0.14045 0.00000 
 GB6J113017+073221  2.65686 2.65890 
 GB6J113017+101532  0.78706 0.00000 
 GB6J113021+674145  1.83350 1.83870 
 GB6J113036+084639  1.37724 1.37010 
 GB6J113037+105420  1.32234 1.31890 
 GB6J113042+303137  0.73672 0.73700 
 GB6J113054+381510  1.74043 1.74130 
 GB6J113109+311405  0.28990 0.29020 
 GB6J113114+514644  2.94458 0.00000 
 GB6J113119+580916  0.35964 0.00000 
 GB6J113126+512914  1.30341 1.29930 
 GB6J113208+431017  0.53408 0.00000 
 GB6J113208+603252  1.82434 0.00000 
 GB6J113223+445514  2.46490 0.00000 
 GB6J113230+573124  0.18042 0.00000 
 GB6J113233+023721  1.80122 0.00000 
 GB6J113244+003425  1.13895 1.22270 
 GB6J113250+541044  1.62494 1.62430 
 GB6J113255+051528  0.10080 0.00000 
 GB6J113303+001528  1.17034 1.17020 
 GB6J113415+385119  0.53496 0.53550 
 GB6J113422+640642  2.53392 0.00000 
 GB6J113423+215324  2.67796 0.00000 
 GB6J113437+623427  3.24868 0.00000 
 GB6J113443+411337  1.68092 1.68510 
 GB6J113453+164139  0.19754 0.00000 
 GB6J113456+255531  0.71037 0.70980 
 GB6J113514+301001  2.97594 0.00000 
 GB6J113553+620230  3.17282 0.00000 
 GB6J113613+144821  0.60340 0.60360 
 GB6J113624+014229  0.65066 0.00000 
 GB6J113626+340721  1.33556 1.33230 
 GB6J113629+564339  0.88311 0.88060 
 GB6J113629+673707  0.13415 0.00000 
 GB6J113638+154215  0.15414 0.00000 
 GB6J113708+482539  2.26067 0.00000 
 GB6J113709+344207  0.83416 0.83460 
 GB6J113720+293537  2.64943 0.00000 
 GB6J113753+471309  0.44264 0.00000 
 GB6J113802+252437  1.66009 1.66140 
 GB6J113821+474514  0.77020 0.77030 
 GB6J113822+203327  2.68747 0.00000 
 GB6J113841+243637  2.78836 0.00000 
 GB6J113851+042821  2.38223 0.00000 
 GB6J113903+403303  2.36112 2.36500 
 GB6J113904+262153  0.02233 0.00000 
 GB6J113925+364209  0.43784 0.43770 
 GB6J113926+185356  0.39805 0.39780 
 GB6J114016+005346  1.13641 1.13490 
 GB6J114047+462207  0.11452 0.11490 
 GB6J114048+332918  0.72920 0.72900 
 GB6J114108+014722  3.05114 0.00000 
 GB6J114111+641001  3.43313 0.00000 
 GB6J114118+100447  1.04992 1.05110 
 GB6J114120+002312  2.20137 0.00000 
 GB6J114121+532625  0.29918 0.00000 
 GB6J114156+494506  2.80789 0.00000 
 GB6J114203+214526  0.12988 0.00000 
 GB6J114207+154802  3.32165 0.00000 
 GB6J114230+535703  0.52652 0.00000 
 GB6J114233+262920  0.03032 0.00000 
 GB6J114242+060900  0.00018 0.00000 
 GB6J114306+184417  0.37436 0.37470 
 GB6J114312+462317  1.32135 1.33170 
 GB6J114337+074337  1.83026 0.00000 
 GB6J114339+231515  0.83714 0.83720 
 GB6J114340+661944  2.56729 0.00000 
 GB6J114342+663329  2.33188 2.32730 
 GB6J114408+005443  0.29551 0.00000 
 GB6J114418+220803  0.57538 0.00000 
 GB6J114426+072044  2.74756 0.00000 
 GB6J114454+331513  0.57128 0.57140 
 GB6J114521+045527  1.33867 1.34130 
 GB6J114525+415624  0.49553 0.00000 
 GB6J114529+251050  0.41600 0.00000 
 GB6J114539+442029  0.29974 0.00000 
 GB6J114551+130017  0.99989 0.00000 
 GB6J114624+584829  1.98911 1.97690 
 GB6J114631+274605  0.31429 0.31390 
 GB6J114631+472251  1.90116 1.89320 
