classname           z_sdss  z_shen 
 GB6J021436+015702  3.28431 0.00000 
 GB6J021553+001837  0.42788 0.00000 
 GB6J021616+053053  1.36176 1.36150 
 GB6J021750+002847  1.86205 0.00000 
 GB6J021836+004027  3.87740 0.00000 
 GB6J021925+072735  1.05246 0.00000 
 GB6J022512+040711  0.85585 0.00000 
 GB6J023108+005650  0.24685 0.00000 
 GB6J025438+005614  0.06676 0.00000 
 GB6J025513+003756  1.01301 1.02280 
 GB6J025549+053411  0.68082 0.00000 
 GB6J025706+035508  0.24019 0.00000 
 GB6J025811+032447  0.09132 0.00000 
 GB6J031049+381450  0.81639 0.81640 
 GB6J031640+411849  0.01885 0.00000 
 GB6J032316+183145  1.91807 0.00000 
 GB6J032759+004411  1.35695 1.35740 
 GB6J042108+260044  0.08604 0.00000 
 GB6J043534+253311  0.60294 0.00000 
 GB6J043719+244709  0.00415 0.00000 
 GB6J044736+112425  2.38047 2.38930 
 GB6J072622+412438  1.80172 1.80190 
 GB6J072805+404641  2.06891 0.00000 
 GB6J072928+252426  2.30740 0.00000 
 GB6J073051+404954  2.50061 0.00000 
 GB6J073135+410021  1.31600 1.31410 
 GB6J073141+261947  2.49173 0.00000 
 GB6J073151+280432  0.24804 0.00000 
 GB6J073220+455040  1.59728 0.00000 
 GB6J073247+384100  0.60492 0.00000 
 GB6J073321+390503  0.66375 0.66370 
 GB6J073459+250516  3.28302 0.00000 
 GB6J073552+203657  2.87902 0.00000 
 GB6J073601+474425  2.26201 0.00000 
 GB6J073631+284032  3.62560 0.00000 
 GB6J073710+422219  0.93215 0.00000 
 GB6J073754+265135  1.64653 1.64880 
 GB6J073815+393646  0.77010 0.77000 
 GB6J074033+285247  0.71113 0.71110 
 GB6J074051+401823  2.31042 0.00000 
 GB6J074101+171052  2.37624 0.00000 
 GB6J074104+320611  0.17917 0.00000 
 GB6J074109+311204  0.63100 0.63120 
 GB6J074127+255739  2.75450 0.00000 
 GB6J074159+454612  2.71371 0.00000 
 GB6J074203+490018  2.30292 0.00000 
 GB6J074237+394422  2.20477 2.20070 
 GB6J074240+374334  0.80584 0.80570 
 GB6J074305+171437  0.00033 0.00000 
 GB6J074308+394108  1.70448 1.70920 
 GB6J074344+232833  0.77660 0.77660 
 GB6J074359+163508  1.90817 0.00000 
 GB6J074409+411708  1.45685 1.45970 
 GB6J074411+295908  1.69710 1.70700 
 GB6J074417+320800  1.05142 1.05030 
 GB6J074445+211956  2.50022 2.50260 
 GB6J074521+415726  2.84762 2.85500 
 GB6J074523+401315  1.10958 1.10400 
 GB6J074542+314255  0.46088 0.46090 
 GB6J074558+222702  0.35160 0.35110 
 GB6J074559+331333  0.61035 0.61060 
 GB6J074617+180726  0.74642 0.00000 
 GB6J074625+254906  2.99367 2.97870 
 GB6J074641+273454  1.70064 0.00000 
 GB6J074730+492042  1.71027 1.71330 
 GB6J074810+300634  0.04209 1.69420 
 GB6J074836+240021  0.40972 0.40930 
 GB6J074842+173500  1.08719 1.08710 
 GB6J074904+451027  0.19216 0.19210 
 GB6J074909+474817  1.56997 1.57110 
 GB6J074915+351635  2.26817 2.27020 
 GB6J074957+500335  0.64673 0.00000 
 GB6J075000+182311  1.16122 1.16300 
 GB6J075009+501505  2.09755 0.00000 
 GB6J075019+363007  2.02972 2.03330 
 GB6J075020+481458  1.95725 1.95630 
 GB6J075038+654114  0.74895 0.74900 
 GB6J075039+192003  1.92400 1.92200 
 GB6J075137+265719  0.70234 0.00000 
 GB6J075144+411538  0.42899 0.42900 
 GB6J075151+335532  2.05789 2.06520 
 GB6J075153+331331  1.93524 1.93430 
 GB6J075156+522309  0.18870 0.00000 
 GB6J075221+353044  1.83367 1.83660 
 GB6J075303+423131  3.59414 3.59000 
 GB6J075306+431926  0.55914 0.00000 
 GB6J075310+152901  0.41681 0.00000 
 GB6J075407+533055  1.65157 1.65070 
 GB6J075445+482339  3.22729 0.00000 
 GB6J075449+303352  0.79567 0.79550 
 GB6J075529+232919  3.68892 0.00000 
 GB6J075537+292046  0.50519 0.50640 
 GB6J075626+132527  0.47893 0.47900 
 GB6J075628+371504  2.51715 2.51570 
 GB6J075650+112812  1.72184 1.72660 
 GB6J075658+515105  1.32722 0.00000 
 GB6J075738+252814  2.07542 2.08030 
 GB6J075804+173906  1.98730 0.00000 
 GB6J075807+113650  0.56879 0.56810 
 GB6J075809+415106  2.22290 2.22100 
 GB6J075837+135756  2.20393 2.20510 
 GB6J075846+270504  0.09874 0.00000 
 GB6J075924+180522  0.10588 0.00000 
 GB6J075927+301029  0.99992 1.00190 
 GB6J075934+252918  1.27446 0.00000 
 GB6J075942+072854  2.55691 0.00000 
 GB6J080012+303143  2.46983 0.00000 
 GB6J080018+164548  0.30839 0.00000 
 GB6J080018+370305  0.81396 0.81380 
 GB6J080034+485416  2.13313 0.00000 
 GB6J080036+501047  1.62003 1.61470 
 GB6J080054+450042  2.36298 2.36390 
 GB6J080128+545500  3.98455 0.00000 
 GB6J080132+473624  0.15684 0.15690 
 GB6J080220+303606  1.64021 1.64100 
 GB6J080236+492318  0.59041 0.00000 
 GB6J080240+250922  1.66798 1.66940 
 GB6J080244+525546  2.01427 2.01610 
 GB6J080306+203816  2.67076 0.00000 
 GB6J080402+303506  0.95872 0.95960 
 GB6J080408+101214  1.21010 1.21150 
 GB6J080408+131356  1.97876 1.97200 
 GB6J080434+155746  0.17815 0.00000 
 GB6J080435+424111  1.43989 1.44120 
 GB6J080508+112150  0.94853 0.95000 
 GB6J080519+173310  0.73234 0.00000 
 GB6J080520+164748  0.10561 0.00000 
 GB6J080542+161347  0.10002 0.00000 
 GB6J080634+450439  2.10786 0.00000 
 GB6J080700+511740  1.13781 1.13660 
 GB6J080711+131741  3.71677 3.72640 
 GB6J080738+135217  1.20984 1.20760 
 GB6J080757+043241  2.87623 0.00000 
 GB6J080807+091800  1.11687 1.11360 
 GB6J080818+125419  1.32500 1.32220 
 GB6J080837+264631  0.54362 0.00000 
 GB6J080839+051459  0.35982 0.36060 
 GB6J080839+495033  1.43440 1.43610 
 GB6J080848+272133  1.34687 1.34880 
 GB6J080855+405252  1.41859 1.41930 
 GB6J080937+345534  0.08249 0.00000 
 GB6J080941+534116  2.14392 0.00000 
 GB6J080949+521856  1.25245 0.00000 
 GB6J081012+370521  2.89342 0.00000 
 GB6J081025+101050  2.50168 2.50590 
 GB6J081032+433508  2.16563 2.16730 
 GB6J081058+413359  0.50655 0.50670 
 GB6J081100+571414  0.61074 0.61090 
 GB6J081108+453352  1.01588 1.01650 
 GB6J081139+060046  0.48875 0.00000 
 GB6J081225+114156  0.00217 0.00000 
 GB6J081243+440747  0.29606 0.00000 
 GB6J081247+252242  1.80786 1.80290 
 GB6J081301+332100  1.69273 1.69500 
 GB6J081303+254215  2.02031 2.02390 
 GB6J081310+131622  3.26646 3.26430 
 GB6J081409+323734  0.84382 0.84380 
 GB6J081434+560948  0.50911 0.50930 
 GB6J081436+282111  1.18096 0.00000 
 GB6J081437+172218  0.17919 0.00000 
