# z 		logbh 	  	  err	      logedd_ratio 
 4.56400         8.148            0.285        0.735 
 4.03410         9.284            0.180       -0.338 
 4.90700         9.841            0.480       -0.362 
 4.07540         9.340            0.406       -0.502 
 4.55610         9.884            0.351       -0.531 
 4.10540         8.871            0.162        0.044 
 4.23540         9.631            0.136       -0.619 
 4.22220         9.915            0.244       -0.824 
 4.02710         8.630            0.071        0.309 
 4.22690         9.496            0.417       -0.831 
 4.23840         9.009            1.823       -0.132 
 4.03820         8.675            0.155        0.062 
 4.35950         8.559            0.123       -0.019 
 4.80190        10.445            0.277       -1.043 
 4.71780         9.584            0.216       -0.173 
 4.05740         9.488            0.199       -0.592 
 4.12170         9.880            0.099       -0.956 
 4.30810         9.295            0.229       -0.539 
 4.34420         8.232            0.102        0.532 
 4.64100         8.355            0.177        0.266 
 4.83400        10.076            0.366       -1.322 
 4.55990         8.663            0.195        0.258 
 4.31790         9.000            0.039        0.175 
 4.15900         9.952            0.410       -0.912 
 4.27000         9.331            0.305       -0.429 
 4.12800         8.983            0.281       -0.250 
 4.30030         9.772            0.171       -0.690 
 4.14130         9.042            0.143       -0.072 
 4.72140        10.802            0.138       -1.156 
 4.19510         9.168            0.409       -0.185 
 4.01260         8.654            0.218        0.234 
 4.77410        10.296            0.441       -1.342 
 4.33340         9.995            0.179       -0.696 
 4.29140         8.566            0.115        0.388 
 4.71740         9.590            0.265       -0.668 
 4.85140        10.357            0.339       -1.199 
 4.00400         9.584            0.116       -0.683 
 4.36910        10.032            0.247       -1.099 
 4.24730         9.055            0.185       -0.347 
 4.27110         9.303            0.445        0.076 
 4.61060        10.384            0.067       -0.482 
 4.43730        10.565            0.583       -1.201 
 4.30350         9.052            0.193       -0.150 
 4.36140         9.506            0.113       -0.451 
 4.77200         8.682            0.371        0.295 
 4.00980         9.447            0.323       -0.806 
 4.28890        10.000            0.160       -0.886 
 4.33150         9.440            0.177       -0.596 
 4.00910         9.228            0.216       -0.239 
 4.44300        10.219            0.116       -0.811 
 4.27740        10.339            0.064       -0.587 
 4.51800         8.904            1.106        0.448 
 4.32620         9.097            0.170       -0.139 
 4.30270         9.722            1.109       -0.669 
 4.17880         9.814            0.291       -0.739 
 4.09510         9.536            0.155       -0.616 
 4.16080         9.462            0.566       -0.307 
 4.02710         8.785            0.128        0.105 
 4.68640         8.330            0.262        0.483 
 4.68780         9.324            0.091        0.120 
 4.25220         8.398            0.219        0.584 
 4.24800        10.325            0.277       -1.334 
 4.48080         9.574            0.175       -0.349 
 4.11710         9.807            0.060       -0.439 
 4.01620        10.636            0.228       -1.551 
 4.02650         8.928            1.503       -0.050 
 4.02450         9.809            0.182       -0.786 
 4.13340         9.393            0.334       -0.362 
 4.21850         9.837            0.410       -0.861 
 4.56800         8.276            0.244        0.496 
 4.24890        10.456            0.212       -1.317 
 4.26040         9.889            0.174       -0.738 
 4.23150         9.286            0.093       -0.261 
 4.26900         9.928            0.549       -1.002 
 4.35620         9.713            0.345       -0.693 
 4.04090         9.915            0.150       -0.435 
 4.64290        10.145            0.286       -0.731 
 4.00340         9.193            0.466       -0.310 
 4.27640         9.463            0.099       -0.307 
 4.22860         9.274            0.292       -0.588 
 4.10000         9.200            1.513       -0.510 
 4.31180         9.398            0.309       -0.667 
 4.34370         9.739            0.127       -0.602 
 4.38440         9.391            0.376       -0.469 
 4.48000         8.271            0.461        0.751 
 4.31800         9.659            0.348       -0.686 
 4.31110         9.545            0.436       -0.540 
 4.49980         9.395            0.103       -0.407 
 4.12340         8.996            0.116       -0.168 
 4.69380        10.025            0.187       -0.734 
 4.02820         9.107            0.137       -0.189 
 4.00310         9.678            0.436       -0.979 
 4.88330         9.454            0.161       -0.483 
 4.01400         8.749            0.205       -0.193 
 4.07430         9.653            0.208       -0.960 
 4.02560         9.260            0.095       -0.775 
 4.03160         9.422            0.286       -0.501 
 4.30870         8.517            0.388        0.467 
 4.28070         9.537            0.172       -0.450 
 4.44240         9.508            0.354       -0.567 
 4.68650         9.563            0.267       -0.415 
 4.09270         8.593            0.201        0.201 
 4.66730         9.392            0.743       -0.299 
 4.03890         8.080            0.162        0.653 
 4.63320         9.982            0.105       -1.129 
 4.10190         9.415            0.085       -0.141 
 4.68050         9.632            0.550       -0.659 
 4.23960         8.915            0.140        0.055 
 4.35510         9.934            0.090       -0.916 
 4.48380         8.887            0.053        0.524 
 4.12340         9.284            0.561       -0.316 
 4.32920        10.272            0.418       -0.890 
 4.40450         8.805            0.455        0.073 
 4.08960        10.215            0.173       -0.845 
 4.48020         9.431            0.491       -0.424 
 4.80990         8.491            1.453        0.467 
 4.42090         9.893            0.177       -0.877 
 4.24260         8.537            0.187        0.153 
 4.63890        10.010            0.540       -0.963 
 4.42070         9.042            1.074       -0.186 
 4.23180        10.048            0.273       -1.050 
 4.05180         9.441            0.275       -0.610 
 4.41230         9.602            0.510       -0.633 
 4.18300        10.041            0.377       -1.167 
 4.20240         9.822            0.107       -0.534 
 4.41700        10.171            0.109       -0.514 
 4.45490        10.570            0.293       -1.387 
 4.01920         9.987            0.101       -1.496 
 4.81020         8.513            0.432        0.419 
 4.11500         8.901            0.167       -0.090 
 4.19000         9.703            0.180       -0.451 
 4.88140         9.261            0.335       -0.412 
 4.43740         9.195            0.351       -0.253 
 4.08200         9.787            0.138       -0.819 
 4.41430         9.565            0.520       -0.134 
 4.60210        10.568            0.253       -1.490 
 4.09510         8.793            0.115        0.114 
 4.15040         9.582            0.189       -0.578 
 4.10210         8.535            0.098        0.316 
 4.04660         9.555            0.156       -0.488 
 4.72140        10.138            0.128       -1.298 
 4.55510        10.114            0.160       -1.111 
 4.09050         9.387            0.403       -0.728 
 4.24190         9.881            0.433       -1.023 
 4.10480         9.608            0.293       -0.648 
 4.32670         9.471            0.465       -0.701 
 4.61180        10.441            0.079       -0.649 
 4.02480         9.108            0.110       -0.074 
 4.06740         8.444            0.079       -0.116 
 4.14340         9.732            0.114       -0.640 
 4.70060         8.092            0.561        0.333 
 4.12720        10.178            0.064       -0.972 
 4.01260         9.057            0.082        0.044 
 4.41810        10.344            0.144       -1.473 
 4.41450         9.463            0.256       -0.787 
 4.39240         9.829            0.263       -0.496 
 4.07220        10.026            0.200       -0.981 
 4.74180        10.194            0.423       -1.355 
 4.46050        10.296            0.102       -0.820 
 4.66500         9.691            0.251       -0.870 
 4.92180         8.860            0.207        0.365 
 4.47500         9.344            0.075        0.156 
 4.13660         8.903            0.616        0.138 
 4.55060         8.905            0.344        0.088 
 4.79830        10.020            0.226       -0.786 
 4.07950         9.782            0.229       -0.816 
 4.06270         8.957            0.643       -0.345 
 4.54480         8.795            0.162        0.567 
 4.02400         9.079            0.318       -0.163 
 4.03780         8.962            0.760        0.023 
 4.03830         9.561            0.226       -0.325 
 4.10040         9.554            0.269       -0.784 
 4.06790         9.625            0.299       -0.913 
 4.53560         8.883            0.226        0.286 
 4.29860         8.536            0.207        0.289 
 4.87200        10.132            0.127       -0.523 
 4.29910         9.621            0.469       -0.993 
 4.21600         9.104            0.084       -0.121 
 4.70930        10.240            0.574       -1.301 
 4.54240         9.429            0.190       -0.414 
 4.80630         9.294            0.450       -0.370 
 4.34110         9.158            0.155       -0.315 
 4.10310         8.866            0.090        0.078 
 4.61070         8.641            0.214        0.408 
 4.22410         9.144            0.421       -0.397 
 4.49560        10.127            0.168       -0.687 
 4.45490        10.217            0.471       -1.435 
 4.14730         9.607            0.097       -0.515 
 4.06210         9.424            0.548       -0.750 
 4.89090         9.223            0.478        0.362 
 4.51500         9.486            1.449       -0.687 
 4.24250         9.430            0.038        0.095 
 4.40220         8.814            0.465        0.346 
 4.06660         9.361            0.193       -0.633 
 4.14790         9.660            0.101       -0.690 
 4.11480         9.064            0.856       -0.045 
 4.09270         9.526            0.105       -0.252 
 4.33380         9.728            0.045       -0.318 
 4.52870        10.681            0.221       -1.249 
 4.06250         9.952            0.095       -0.630 
 4.55900         9.444            0.375        0.066 
 4.18000         9.580            0.359       -0.599 
 4.10530         8.719            0.080       -0.203 
 4.22950         8.875            0.103       -0.067 
 4.19410         8.848            0.075       -0.242 
 4.02500         9.380            0.214       -0.665 
 4.09230         9.133            0.175       -0.158 
 4.11080         9.120            0.411       -0.036 
 4.02120         9.273            0.187       -0.730 
 4.06220         9.331            0.253       -0.615 
 4.01080         9.065            0.111        0.127 
 4.11990         8.804            1.546        0.208 
 4.11990         9.766            0.129       -1.645 
 4.69750        10.196            0.619       -0.551 
 4.03680         9.669            0.134       -1.172 
 4.37370         9.796            0.151       -0.496 
 4.69630         9.437            0.419       -0.516 
 4.40210         9.830            0.535       -0.814 
 4.24700         9.823            0.176       -0.315 
 4.49310         9.675            0.694       -0.629 
 4.22000         9.509            0.526       -0.797 
 4.53060         9.475            0.291       -0.446 
 4.12690         9.108            0.122       -0.726 
 4.61930         9.913            0.234       -1.053 
 4.13180         9.594            0.410       -0.836 
 4.42350         8.854            0.466        0.031 
 4.66860         9.737            0.557       -0.879 
 4.03840         9.576            0.075       -0.345 
 4.91640         9.829            0.594       -0.349 
 4.19120         9.858            0.092       -0.733 
 4.29870         9.739            0.134       -0.524 
 4.00810         9.442            0.239       -0.658 
 4.66260         9.826            0.244       -0.286 
 4.34260         9.432            0.236       -0.556 
 4.18230        10.126            0.440       -0.817 
 4.23630         9.841            0.090       -0.701 
 4.07210        10.174            0.204       -0.994 
 4.30280         8.544            0.097        0.288 
 4.38650        10.328            0.382       -1.235 
 4.04260         8.842            0.649       -0.112 
 4.13840        10.158            0.165       -1.181 
 4.58760         9.993            0.212       -0.364 
 4.12900         9.288            0.240       -0.115 
 4.81720         9.607            0.212       -0.377 
 4.13150         9.451            0.501       -0.136 
 4.44770         9.495            0.265       -0.339 
 4.12670         9.495            0.236       -0.533 
 4.67400         9.537            0.489       -0.667 
 4.34120         9.358            0.488       -0.414 
 4.26690         9.722            0.161       -0.638 
 4.20510         9.158            0.124       -0.333 
 4.71600         9.647            0.467       -0.638 
 4.15670         9.423            0.117       -0.318 
 4.88540        10.781            0.292       -1.291 
 4.28990         9.748            0.406       -0.985 
 4.44800         8.931            1.262        0.550 
 4.03100         9.114            0.216       -0.252 
 4.21380         9.331            0.351       -0.472 
 4.43320         9.856            0.141       -0.536 
 4.65680         9.479            0.685       -0.683 
 4.08850         9.621            0.326       -0.591 
 4.13030         9.203            0.090       -0.540 
 4.08140         9.236            0.294       -0.467 
 4.90400         9.786            0.340       -0.704 
 4.09060         9.483            0.116       -0.673 
 4.06460         8.781            0.065        0.321 
 4.15010         9.181            0.775       -0.361 
 4.30570         9.192            0.122       -0.324 
 4.53370        10.092            0.369       -1.257 
 4.75370         8.665            1.053        0.009 
 4.02480         9.922            0.478       -1.553 
 4.52110         9.852            0.727       -1.094 
 4.11820         9.661            0.263       -1.388 
 4.55950         9.893            0.661       -0.533 
 4.13790         9.402            0.535       -0.612 
 4.12500         9.503            0.163       -0.550 
 4.02190         9.230            1.103       -0.568 
 4.18810         9.129            1.814       -0.537 
 4.00950         9.401            0.483       -0.874 
 4.24240         9.866            0.117       -0.944 
 4.36370         8.687            0.410        0.199 
