3. 4.  102.  57      1543. 1075.
4. 5.  57.   5.      1968. 1543.
5. 6.  5.   0.25     2348. 1968.
6. 7.  0.25 1.e-3    2688. 2348.
7. 8.  1.e-8 1.e-10  2994. 2688.
8. 9.  1.e-10 1.e-12 3270. 2688.
#
#z>0 = 121 oggetti
# >1 = 121
# >2 = 120
# >3 = 102
# >4 =  57
# >5 =   5
# >6 =   0
# >7 =   0
# >8 =   0
