#  sigmarray   fwhmarray   lumiarray
#
       23.41        41.9       446.5
       21.48          41         423
       30.42        42.7       492.1
       24.71          39       469.4
        23.4        43.6       471.2
       26.08        41.3       476.7
       26.28        40.5       475.7
       24.51        45.1       472.2
       31.87        34.7       539.4
       26.44        39.9       455.1
       25.31        44.4       523.3
       26.63        40.8         492
       20.55        42.9       454.2
       26.59        40.5       480.4
       24.05        43.5       464.8
       25.84        41.5       491.9
       24.53        44.8       467.6
       36.41        38.2       542.9
       26.91        42.4       471.4
       24.04        42.2       460.3
       23.34        40.5       455.4
       24.54        39.9       491.4
       26.31        44.4       524.4
       25.57        42.8       512.6
       24.67        42.8       475.5
       24.47        40.9       464.4
       25.19        39.6       469.6
       31.51        42.6       522.2
       26.13        41.8       488.7
       23.14        41.5       479.9
        24.5        40.1       506.3
       32.91        42.6       517.2
       24.47          39       489.7
       28.47        43.3       506.5
       26.66        42.2       477.9
       23.51        39.9       444.8
       25.24        41.6       463.5
       24.95        43.8       487.9
        29.9        44.8       498.7
       22.61        41.8       482.1
       35.36        40.8       547.7
       24.81        41.4         470
       26.71        40.9       476.9
       22.32        41.7       456.6
       28.24        45.2       497.1
       25.54        40.3       474.8
       43.13        50.1       611.9
       34.82        45.1       517.8
       37.68        43.4         539
       31.41        37.2       529.9
       31.69        45.4         528
       21.66        39.9       471.1
       35.57        42.7       498.4
       23.09          41       454.5
       34.45        42.7       542.7
       25.63        41.3       464.3
       25.27        41.2       471.7
       31.55        38.3       501.9
       26.32        46.6         507
       24.99        36.3       456.6
       28.97        41.2       495.1
       23.86          42       481.5
        25.7        42.3       469.8
       24.34        42.1       487.9
       27.05        40.1       497.1
       24.69        41.5       480.4
       26.13        38.5       489.7
       24.54        44.2       474.8
       19.31          41       430.8
       32.34        37.8         522
       21.04        39.7       438.8
       26.12        48.6       511.6
       29.07        40.6       505.1
       38.94        41.8       526.6
       24.07          39       487.8
       32.64        42.5       516.4
       29.24        39.3       517.3
       25.32        40.6         472
       28.07        43.7       499.7
       26.93        39.8       496.1
       31.68        36.9       499.5
       29.49        47.7       499.3
        47.9        40.8       594.7
       24.33        42.8       460.6
       24.08        41.3       468.6
       23.23        42.6       455.1
       30.39        39.4         529
       28.44        41.4       523.1
       26.81        41.3       490.7
       23.79        42.6       452.7
       26.17        43.9       512.4
       23.03        40.9       432.1
       21.53        41.7       471.1
       29.01        45.2       523.5
       27.25        39.6       484.1
       25.03        49.2       500.7
       24.38        40.3       485.2
       27.11        43.2       490.3
       24.89        40.4       485.6
       22.41        40.7       453.1
       24.48        39.1       445.5
       26.82        43.6       489.1
       24.51        39.3       465.1
       24.59        41.8         485
       25.01          42       483.4
       28.86        39.8       476.2
       26.63        40.8         492
       24.19        38.3       459.4
       24.15        47.1       481.2
