?qx_off,",",f1->classname,",",f1->class,",",f1->z,",",f2->Z,",",f2->logbh_hbmd04,",",f2->LOGBH_HBMD04_ER,",",f2->LOGBH_HBVP06,",",f2->LOGBH_HBVP06_ER,",",f2->LOGBH_MGMD04,",",f2->LOGBH_MGMD04_ER,",",f2->LOGBH_MGVO09,",",f2->LOGBH_MGVO09_ER,",",f2->LOGBH_MGS10,",",f2->LOGBH_MGS10_ER,",",f2->LOGBH_CIVVP06,",",f2->LOGBH_CIVVP06_ER,",",f2->LOGBH,",",LOGBH_ERR,",",f2->LOGEDD_RATIO
         0.07 , GB6J143646+633645 , QSO        , 2.068000 , 2.06790 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.902 ,  0.016 ,  9.720 ,  0.081 , 10.137 ,  0.066 ,  9.431 ,  0.019 ,  9.431 ,  0.019 ,  0.052
         0.08 , GB6J144357+633228 , QSO        , 1.400000 , 1.39800 ,  0.000 , -1.000 ,  0.000 , -1.000 , 10.091 ,  0.012 , 10.054 ,  0.044 , 10.216 ,  0.042 ,  0.000 , -1.000 , 10.216 ,  0.042 , -1.258
         0.05 , GB6J133923+632854 , -          , 0.000000 , 2.55940 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.772 ,  0.049 ,  8.772 ,  0.049 ,  0.012
         0.09 , GB6J135358+632426 , -          , 0.000000 , 2.30160 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.133 ,  0.088 ,  9.133 ,  0.088 , -1.083
         0.08 , GB6J171531+632341 , QSO        , 2.182000 , 2.18280 ,  0.000 , -1.000 ,  0.000 , -1.000 , 10.008 ,  0.048 ,  9.083 ,  0.119 ,  9.245 ,  0.107 ,  9.480 ,  0.068 ,  9.480 ,  0.068 , -0.606
         0.17 , GB6J162440+625949 , -          , 0.000000 , 1.71550 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.067 ,  0.032 ,  8.797 ,  0.123 ,  9.056 ,  0.188 ,  8.877 ,  0.094 ,  9.056 ,  0.188 , -0.374
         0.13 , GB6J085021+624605 , -          , 0.000000 , 1.15190 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.394 ,  0.020 ,  9.531 ,  0.105 ,  9.629 ,  0.096 ,  0.000 , -1.000 ,  9.629 ,  0.096 , -1.203
         0.05 , GB6J110153+624155 , QSO        , 0.663000 , 0.66410 ,  8.503 ,  0.032 ,  8.662 ,  0.044 ,  8.643 ,  0.010 ,  8.797 ,  0.029 ,  8.803 ,  0.027 ,  0.000 , -1.000 ,  8.662 ,  0.044 , -1.082
         0.02 , GB6J165202+623204 , QSO        , 1.633000 , 1.63170 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.568 ,  0.034 ,  8.651 ,  0.086 ,  8.737 ,  0.111 ,  8.945 ,  0.147 ,  8.737 ,  0.111 , -0.407
         0.05 , GB6J132839+622139 , -          , 0.000000 , 1.21800 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.999 ,  0.035 ,  8.362 ,  0.106 ,  8.428 ,  0.585 ,  0.000 , -1.000 ,  8.428 ,  0.585 , -0.269
