 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J095749+074516 0.83870     30  19.668       8.551           0.052           0.000              -1.000 
 GB6J095801+263949 0.70350     95  18.468       8.494           0.043           0.000              -1.000 
 GB6J095819+472514 1.88150   1005  18.482       9.560           0.121           9.113               0.103 
 GB6J095821+322351 0.53060    706  16.024       8.613           0.206           0.000              -1.000 
 GB6J095840+565225 1.60150     70  20.407       8.246           0.227           8.493               0.329 
 GB6J095855+423653 0.66410     60  18.897       8.191           0.094           0.000              -1.000 
 GB6J095858+294759 2.07420    108  19.026       9.115           0.033           9.115               0.033 
 GB6J095907+051016 0.99700     73  18.021       9.809           0.074           0.000              -1.000 
 GB6J095929+264557 2.60240     55  19.924       8.524           0.175           8.524               0.175 
 GB6J095938+041652 1.99420     37  19.002       9.465           0.124           9.465               0.124 
 GB6J095955+244948 1.48030     82  19.118       8.919           0.103           0.000              -1.000 
 GB6J100029+275159 1.20420    118  18.077       9.095           0.067           0.000              -1.000 
 GB6J100035+132440 1.35150     34  16.712       9.656           0.042           0.000              -1.000 
 GB6J100055+533158 1.34670     72  18.092       9.470           0.112           0.000              -1.000 
 GB6J100124+481507 1.90780     52  20.628       8.372           0.291           8.372               0.291 
 GB6J100157+101552 1.53240    301  18.227       9.528           0.049           9.383               0.060 
 GB6J100308+681313 0.77090     86  15.900       9.438           0.052           0.000              -1.000 
 GB6J100313+284547 2.24470     53  20.218       8.770           0.497           8.770               0.497 
 GB6J100327+565839 0.88430     60  20.551       8.295           0.155           0.000              -1.000 
 GB6J100358+324403 1.68530    371  19.152       9.097           0.108           9.163               0.056 
 GB6J100441+403717 0.49900     35  19.601       8.026           0.137           0.000              -1.000 
 GB6J100505+501933 2.02320     50  18.299       9.104           0.047           9.104               0.047 
 GB6J100516+615443 2.74030     42  17.587       9.803           0.104           9.803               0.104 
 GB6J100555+433216 1.58660    118  20.307       8.993           0.434           8.998               0.334 
 GB6J100709+133606 0.92820     40  18.149       9.413           0.094           0.000              -1.000 
 GB6J100738+233730 2.96580     41  19.336       9.366           0.147           9.366               0.147 
 GB6J100741+135623 2.72110    841  18.446       9.450           0.148           9.450               0.148 
 GB6J100811+565723 1.88640     45  19.026       9.004           0.483           8.640               0.071 
 GB6J100817+193334 0.56420     47  19.549       8.904           0.052           0.000              -1.000 
 GB6J100819+253332 1.95970     87  18.454       9.641           0.056           9.641               0.056 
 GB6J100837+251411 1.77390     56  19.248       9.602           0.103           8.414               0.051 
 GB6J100841+621941 1.87440     78  19.354       9.365           0.083           8.993               0.119 
 GB6J101028+413230 0.61240    854  16.385       9.170           0.129           0.000              -1.000 
 GB6J101058+381734 0.82600     33  19.100       8.584           0.153           0.000              -1.000 
 GB6J101109+423943 3.57570     47  18.251       9.836           0.129           9.836               0.129 
 GB6J101121+470034 2.91250     30  19.060      10.159           0.099          10.159               0.099 
 GB6J101211+103802 0.00000    128   0.000       9.112           0.091           9.299               0.061 
 GB6J101211+330936 2.25310    131  17.952       8.957           0.029           8.957               0.029 
 GB6J101302+352605 2.64900    171  17.905       9.917           0.087           9.917               0.087 
 GB6J101329+491851 2.20120    161  18.887       9.528           0.023           9.528               0.023 
 GB6J101342+254524 1.10450     46  18.710       8.941           0.101           0.000              -1.000 
 GB6J101349+344534 1.40950    630  18.814       9.340           0.127           0.000              -1.000 
 GB6J101353+244916 1.63430    937  16.351       9.528           0.129           9.624               0.018 
 GB6J101438+053756 2.01350     33  19.131       9.411           0.082           9.411               0.082 
 GB6J101446+230101 0.56610   1093  17.554       8.479           0.141           0.000              -1.000 
 GB6J101457+381305 1.92680     48  19.784       9.188           0.238           9.188               0.238 
 GB6J101557+010919 0.77990    174  16.650       9.883           0.051           0.000              -1.000 
 GB6J101602+051304 1.71370    593  18.892       9.115           0.267           9.089               0.564 
 GB6J101619+230745 1.26570     36  18.618       8.853           0.090           0.000              -1.000 
 GB6J101631+435655 0.69460     38  20.787       8.932           1.030           0.000              -1.000 
 GB6J101644+203741 3.11860    986  18.985       9.027           0.094           9.027               0.094 
 GB6J101722+165212 0.87620     47  18.979       9.341           0.069           0.000              -1.000 
 GB6J101726+611633 2.80520    596  18.083       9.260           0.065           9.260               0.065 
 GB6J101727+432851 1.17420    166  19.982       8.949           0.166           0.000              -1.000 
 GB6J101803+265001 1.80100    117  17.750       9.523           0.115           9.783               0.056 
 GB6J101811+354229 1.22810    707  17.907       9.157           0.114           0.000              -1.000 
 GB6J101820+071503 1.53190    111  19.952       8.714           0.158           9.583               0.218 
 GB6J101825+602115 1.84430     32  19.461       8.762           0.507           8.431               0.071 
 GB6J101827+053022 1.93830    627  19.088       8.841           0.139           8.841               0.139 
 GB6J101953+375023 2.41280     41  18.800       9.219           0.065           9.219               0.065 
 GB6J101955+252233 1.41230     52  20.132       8.590           0.149           0.000              -1.000 
 GB6J102027+432106 1.96380    246  18.979       8.604           0.103           8.604               0.103 
 GB6J102105+452332 0.36440     82  18.344       9.051           0.099           0.000              -1.000 
 GB6J102117+343716 1.40520    447  17.375       9.372           0.067           0.000              -1.000 
 GB6J102334+395304 1.33130     80  18.016       8.741           0.047           0.000              -1.000 
 GB6J102428+053041 1.48320     53  18.129       9.401           0.271           0.000              -1.000 
 GB6J102445+191218 0.82780    765  17.985       8.902           0.032           0.000              -1.000 
 GB6J102639+042424 1.50760     35  19.252       9.582           0.145           8.928               0.060 
 GB6J102643+644825 1.68330     77  19.637       8.819           0.230           8.658               0.497 
 GB6J102644+365809 3.21460    111  19.521       9.087           0.240           9.087               0.240 
 GB6J102712+480323 1.28650    242  19.014       9.165           0.125           0.000              -1.000 
 GB6J102822+240105 1.87330    286  19.366       9.034           0.396           8.476               0.048 
 GB6J102826+321601 1.81770     37  20.276       8.698           0.331           8.719               0.257 
 GB6J102832+465748 2.50010     46  18.707       9.786           0.195           9.786               0.195 
 GB6J102959+322407 1.18530     87  19.001       8.823           0.022           0.000              -1.000 
 GB6J103038+085340 1.74990    106  18.849       9.675           0.060           8.820               0.066 
 GB6J103038+580612 0.50420     80  19.135       9.059           0.197           0.000              -1.000 
 GB6J103045+255516 0.69160     50  17.114       9.162           0.172           0.000              -1.000 
 GB6J103058+310255 0.17810    161  16.765       8.689           0.036           0.000              -1.000 
 GB6J103144+602030 1.22980    253  17.989       9.149           0.138           0.000              -1.000 
 GB6J103214+635927 0.55630     31  18.601       8.790           0.048           0.000              -1.000 
 GB6J103303+411559 1.11670    439  19.131       8.659           0.201           0.000              -1.000 
 GB6J103325+363444 1.14930     44  19.060       8.503           0.363           0.000              -1.000 
 GB6J103352+605117 1.40090    532  18.468       8.904           0.646           0.000              -1.000 
 GB6J103434+592454 0.00000    138   0.000       9.694           0.067           9.694               0.067 
 GB6J103505+122836 1.33460     59  19.079       9.099           0.086           0.000              -1.000 
 GB6J103506+565257 1.85610    205  20.109       8.595           0.271           8.557               0.083 
 GB6J103511+351009 1.96240     31  18.022       9.391           0.030           9.391               0.030 
 GB6J103531+423043 2.44010     91  19.218       9.442           0.082           9.442               0.082 
 GB6J103550+375646 1.51360     34  16.961       9.725           0.121           9.385               0.113 
 GB6J103614+153841 1.82220     65  18.151       9.431           0.091           9.549               0.054 
 GB6J103626+132627 3.09420     93  17.893       9.411           0.034           9.411               0.034 
 GB6J103633+220308 0.59480    322  18.941       8.753           0.052           0.000              -1.000 
 GB6J103636+240529 1.01130     34  18.617       7.946           0.226           0.000              -1.000 
 GB6J103822+134710 0.94740     63  17.482       9.339           0.036           0.000              -1.000 
 GB6J103901+421554 0.46540     39  19.037       8.048           0.049           0.000              -1.000 
 GB6J103941+114551 1.87660     31  19.217       8.895           0.206           9.305               0.078 
 GB6J103941+242236 1.17490    107  18.576       8.979           0.190           0.000              -1.000 
 GB6J104146+523332 0.67860    701  16.667       8.922           0.045           0.000              -1.000 
 GB6J104207+293822 2.56170     53  19.559       9.117           0.117           9.117               0.117 
 GB6J104228+381102 2.62590     40  18.216       9.016           0.075           9.016               0.075 
 GB6J104406+295921 2.98270     79  19.008       9.023           0.051           9.023               0.051 
 GB6J104410+532220 1.90340    437  19.451       8.598           0.087           8.598               0.087 
 GB6J104454+075030 1.93120     55  18.324       8.995           0.089           8.995               0.089 
 GB6J104456+065528 0.68970    432  18.981      10.056           0.406           0.000              -1.000 
 GB6J104533+325750 1.43250     32  19.680       8.378           0.125           0.000              -1.000 
 GB6J104552+062437 1.50910    427  17.620      10.120           0.311           8.610               0.063 
 GB6J104620+342714 1.19640     51  17.736       9.396           0.066           0.000              -1.000 
 GB6J104623+535438 1.71170    271  19.488       8.959           0.221           8.669               0.082 
 GB6J104719+582133 1.22220     81  18.381       9.301           0.276           0.000              -1.000 
 GB6J104732+483533 0.86650     46  18.658       8.408           0.159           0.000              -1.000 
 GB6J104831+211600 1.48100    151  17.268       9.252           0.151           0.000              -1.000 
 GB6J104910+373742 3.00570     30  18.070      10.037           0.045          10.037               0.045 
 GB6J104942+133258 2.76520     60  18.717       9.120           0.111           9.120               0.111 
 GB6J105008+043237 1.21580     99  18.194       9.004           0.091           0.000              -1.000 
 GB6J105023+252608 2.17130     45  19.798       8.331           0.039           8.331               0.039 
 GB6J105028+490447 1.86540     31  19.458       9.154           0.144           9.120               0.053 
 GB6J105115+464439 1.42000    270  18.787      10.104           0.058           0.000              -1.000 
 GB6J105147+211933 1.30040   1076  18.391       8.853           0.127           0.000              -1.000 
 GB6J105214+072834 1.76780     38   0.000       9.153           0.360           9.087               0.122 
 GB6J105225+373031 0.37390    134  19.223       9.455           0.039           0.000              -1.000 
 GB6J105237+313436 1.68600     40  18.545       9.625           0.099           9.565               0.113 
 GB6J105239+052502 1.72690     99  20.727       8.511           0.459           8.448               0.075 
 GB6J105250+335510 1.40020     68  16.988      10.339           0.023           0.000              -1.000 
 GB6J105426+270256 1.39910     47  18.282       9.462           0.146           0.000              -1.000 
 GB6J105430+385500 1.36620     56  17.170       9.536           0.112           0.000              -1.000 
 GB6J105437+551215 3.30900     83  20.130       8.871           0.144           8.871               0.144 
 GB6J105531+050152 1.25700     82  20.282       9.055           0.216           0.000              -1.000 
 GB6J105645+055408 0.57460     34  18.778       8.968           0.084           0.000              -1.000 
 GB6J105653+051709 0.45610     68  18.396       8.734           0.024           0.000              -1.000 
 GB6J105712+162228 0.79230     65  18.636       8.695           0.070           0.000              -1.000 
 GB6J105721+045521 1.33550     36  18.490       9.423           0.055           0.000              -1.000 
 GB6J105751+022747 1.44110     56  18.522       9.597           0.036           0.000              -1.000 
 GB6J105817+195216 1.11490   1505  16.910       9.420           0.063           0.000              -1.000 
 GB6J105858+044350 2.63380     97  20.389       8.340           0.462           8.340               0.462 
 GB6J105908+324036 1.14480     39  19.040       8.807           0.095           0.000              -1.000 
 GB6J105931+242955 0.90710     44  17.973       9.177           0.152           0.000              -1.000 
 GB6J105940+205723 0.39210    269  19.095       8.158           0.075           0.000              -1.000 
 GB6J110021+162845 0.92000    191  18.609       9.423           0.078           0.000              -1.000 
 GB6J110122+415840 1.47120     32  19.356       8.786           0.124           0.000              -1.000 
 GB6J110153+624155 0.66410    693  18.757       8.662           0.044           0.000              -1.000 
 GB6J110206+112137 2.35030     52  18.273       8.479           0.421           8.479               0.421 
 GB6J110212+284026 1.74700     50  17.042       9.445           0.137           9.142               0.123 
 GB6J110213+275650 1.86790    399  19.277       8.977           0.259           8.786               0.038 
 GB6J110303+115820 0.91220    306  18.710       8.921           0.087           0.000              -1.000 
 GB6J110313+301453 0.38410    202  18.480       8.156           0.078           0.000              -1.000 
 GB6J110315+184057 2.61560     32  18.218       9.574           0.108           9.574               0.108 
 GB6J110326+461350 1.17980     33  18.514       9.172           0.098           0.000              -1.000 
 GB6J110344+023216 2.51400    112  18.439       9.565           0.119           9.565               0.119 
 GB6J110421+343137 1.59010     37  19.077       9.293           0.151           9.383               0.126 
 GB6J110434+212411 0.18770     36  17.086       8.572           0.155           0.000              -1.000 
 GB6J110452+011903 0.57350     37  19.362       9.366           0.156           0.000              -1.000 
 GB6J110454+603857 1.36230    187  19.213       8.714           0.076           0.000              -1.000 
 GB6J110513+010841 1.45150     59  18.659       9.068           0.091           0.000              -1.000 
 GB6J110538+020254 0.10550    295  16.531       8.274           0.021           0.000              -1.000 
 GB6J110552+532039 1.73840     38  18.622       9.189           0.075           9.277               0.106 
 GB6J110606+281246 0.84430    369  18.134       8.603           0.140           0.000              -1.000 
 GB6J110616+552708 0.99450     80  18.311       9.044           0.039           0.000              -1.000 
 GB6J110636+362648 1.55520     40  20.222       8.885           0.122           9.009               0.178 
 GB6J110715+162801 0.63020    561  16.510       9.276           0.022           0.000              -1.000 
 GB6J110726+574142 3.03040     45  19.298       8.638           0.049           8.638               0.049 
 GB6J110736+090110 1.22660     35  18.790       8.898           0.399           0.000              -1.000 
 GB6J110839+255603 0.73220     73  17.495       9.072           0.073           0.000              -1.000 
 GB6J110914+144500 1.42700    162  19.210       8.885           0.086           0.000              -1.000 
 GB6J110934+665240 1.36620     89  18.617       8.861           0.272           0.000              -1.000 
 GB6J111050+045621 2.20800     53  19.136       9.143           0.057           9.143               0.057 
 GB6J111106+522751 1.28080     74  17.752       9.401           0.044           0.000              -1.000 
 GB6J111118+153015 0.52590     36  18.957       8.101           0.269           0.000              -1.000 
 GB6J111216+112934 1.13210     32  18.759       9.596           0.135           0.000              -1.000 
 GB6J111219+614901 2.23280     51  19.147       8.714           0.311           8.714               0.311 
 GB6J111239+344642 1.95580    216  19.296       9.041           0.087           9.041               0.087 
 GB6J111358+144221 0.86600    495  17.527       8.521           0.092           0.000              -1.000 
 GB6J111543+214719 2.43130     56  17.580       9.222           0.058           9.222               0.058 
 GB6J111557+242956 0.37420     31  18.400       8.371           0.071           0.000              -1.000 
 GB6J111701+131118 3.62390     45  18.357       9.274           0.330           9.274               0.330 
 GB6J111707+201405 0.13800     82  16.605       8.624           0.258           0.000              -1.000 
 GB6J111753+412014 2.22130    237  19.474       8.958           0.064           8.958               0.064 
 GB6J111857+123442 2.12880   1820  18.475       8.885           0.046           8.885               0.046 
 GB6J111914+600459 2.64730    170  17.144       9.789           0.113           9.789               0.113 
 GB6J111922+464717 1.54720     41  19.350       8.470           0.195           8.825               0.291 
 GB6J111928+222644 0.41910    138  18.170       9.079           0.026           0.000              -1.000 
 GB6J112021+110429 0.49550    129  17.007       9.705           0.025           0.000              -1.000 
 GB6J112023+540428 0.92270    190  18.938       8.583           0.041           0.000              -1.000 
 GB6J112130+270433 1.88200     62  20.492       8.740           0.373           7.745               0.121 
 GB6J112229+180526 1.04140    744  17.256       8.916           0.074           0.000              -1.000 
 GB6J112336+504546 2.27130     58  19.383       8.962           0.066           8.962               0.066 
 GB6J112338+052053 2.18050     85  19.101       9.196           0.037           9.196               0.037 
 GB6J112340+155358 3.42050     62  20.377       9.500           0.095           9.500               0.095 
 GB6J112518+263752 1.26070     38  19.248       9.029           0.130           0.000              -1.000 
 GB6J112542+000111 1.68900    131  17.560       9.017           0.274           8.693               0.016 
 GB6J112554+261017 2.35020   1176  18.222       9.295           0.041           9.295               0.041 
 GB6J112657+451557 1.81150    360  17.194       9.421           0.094           9.771               0.039 
 GB6J112700+023117 1.65400    129  18.780       8.890           0.221           8.803               0.049 
 GB6J112732+111714 1.10170     44  18.469       9.238           0.107           0.000              -1.000 
 GB6J112815+225202 1.08090    146  18.416       9.418           0.058           0.000              -1.000 
 GB6J112834+210236 1.51340    220  18.843       9.229           0.090           9.109               0.079 
 GB6J112846+141646 1.36110     46  17.729       9.442           0.069           0.000              -1.000 
 GB6J112850+232603 3.04860    109  18.334       9.216           0.045           9.216               0.045 
 GB6J112907+164327 1.99670    171  17.842       9.922           0.123           9.922               0.123 
 GB6J112913+095157 1.51890    367  17.324       9.418           0.039           9.404               0.100 
 GB6J112940+440402 2.21170     46  18.120       8.497           0.033           8.497               0.033 
 GB6J112955+364924 0.39850     52  19.271       8.300           0.070           0.000              -1.000 
 GB6J113017+073221 2.65890     55  17.277       9.949           0.036           9.949               0.036 
 GB6J113021+674145 1.83870     52  21.237       9.395           0.270           8.185               0.277 
 GB6J113036+084639 1.37010    317  19.329       9.011           0.070           0.000              -1.000 
 GB6J113037+105420 1.31890     84  19.065       8.947           0.069           0.000              -1.000 
 GB6J113042+303137 0.73700    410  18.748       8.570           0.046           0.000              -1.000 
 GB6J113054+381510 1.74130    769  18.754       9.414           0.070           9.158               0.060 
 GB6J113126+512914 1.29930    157  17.509       9.018           0.115           0.000              -1.000 
 GB6J113244+003425 1.22270    340  18.114       8.702           0.743           0.000              -1.000 
 GB6J113250+541044 1.62430    125  19.290       9.839           0.067           8.788               0.107 
 GB6J113303+001528 1.17020    165  18.623       9.083           0.042           0.000              -1.000 
 GB6J113415+385119 0.53550     91  20.342       8.775           0.346           0.000              -1.000 
 GB6J113443+411337 1.68510     47  18.064       9.564           0.113           8.989               0.094 
 GB6J113456+255531 0.70980     30  16.817       9.327           0.054           0.000              -1.000 
 GB6J113613+144821 0.60360     85  19.042       8.069           0.100           0.000              -1.000 
 GB6J113626+340721 1.33230    170  19.807       8.034           0.667           0.000              -1.000 
 GB6J113629+564339 0.88060     82  19.334       9.074           0.205           0.000              -1.000 
 GB6J113709+344207 0.83460     91  18.725       8.571           0.047           0.000              -1.000 
 GB6J113802+252437 1.66140    211  19.369       8.922           0.148           8.833               0.081 
 GB6J113821+474514 0.77030    246  19.388       8.960           0.113           0.000              -1.000 
 GB6J113903+403303 2.36500    273  19.923       9.254           0.123           9.254               0.123 
 GB6J113925+364209 0.43770    115  19.660       8.102           0.225           0.000              -1.000 
 GB6J113926+185356 0.39780     32  18.238       9.051           0.023           0.000              -1.000 
 GB6J114016+005346 1.13490    119  17.662       9.077           0.082           0.000              -1.000 
 GB6J114047+462207 0.11490     54  15.878       8.087           0.034           0.000              -1.000 
 GB6J114048+332918 0.72900     52  18.166       8.702           0.055           0.000              -1.000 
 GB6J114118+100447 1.05110     38  18.851       8.870           0.095           0.000              -1.000 
 GB6J114306+184417 0.37470     53  16.901       8.794           0.022           0.000              -1.000 
 GB6J114312+462317 1.33170    122  18.893       9.345           0.079           0.000              -1.000 
 GB6J114339+231515 0.83720    146  17.698       9.092           0.141           0.000              -1.000 
 GB6J114342+663329 2.32730    245  19.163       8.666           0.036           8.666               0.036 
 GB6J114454+331513 0.57140     70  19.155       8.150           0.099           0.000              -1.000 
 GB6J114521+045527 1.34130    486  18.957       9.256           0.069           0.000              -1.000 
 GB6J114624+584829 1.97690    579  20.577       8.504           0.051           8.504               0.051 
 GB6J114631+274605 0.31390     52  17.824       9.808           0.403           0.000              -1.000 
 GB6J114631+472251 1.89320     30  18.770       8.768           0.117           9.197               0.113 
 GB6J114657+395840 1.08820    836  18.305       8.980           0.098           0.000              -1.000 
 GB6J114704+450703 1.97980     36  19.992       8.702           0.098           8.702               0.098 
 GB6J114733+042951 1.21050     47  18.290       9.347           0.173           0.000              -1.000 
 GB6J114758+263545 0.86540    420  18.190       8.373           0.070           0.000              -1.000 
 GB6J114804+565351 0.45110     51  17.947       8.884           0.012           0.000              -1.000 
 GB6J114818+315431 0.55000     81  17.356       8.407           0.225           0.000              -1.000 
 GB6J114856+525432 1.63190    288  16.555       9.512           0.105           9.531               0.021 
 GB6J114924+431659 1.53320    124  18.123       9.405           0.061           9.208               0.091 
 GB6J114939+425031 1.17250     37  18.292       8.923           0.070           0.000              -1.000 
 GB6J114954+271127 1.74380     31  19.265       9.264           0.099           9.372               0.089 
 GB6J115037+653916 2.21580     60  16.546       9.912           0.102           9.912               0.102 
 GB6J115103+592344 1.79280     58  19.818       9.065           0.161           8.650               0.372 
 GB6J115142+335620 0.85100     31  18.280       9.383           0.089           0.000              -1.000 
 GB6J115201+240053 2.39280     32  19.091       8.745           0.044           8.745               0.044 
 GB6J115225+073340 0.87510     45  19.718       8.277           0.185           0.000              -1.000 
 GB6J115225+321008 0.37460     36  18.892       9.215           0.064           0.000              -1.000 
 GB6J115233+493951 1.09310    167  16.949       9.261           0.027           0.000              -1.000 
 GB6J115253+330722 1.39420    180  16.031       9.672           0.060           0.000              -1.000 
 GB6J115258+293015 1.23420     96  18.117       9.249           0.163           0.000              -1.000 
 GB6J115319+172706 1.67000     51  18.997       9.802           0.108           9.118               0.126 
 GB6J115326+361734 1.35780     60  17.196       8.908           0.119           0.000              -1.000 
 GB6J115519+193926 1.01880     76  16.520       9.907           0.050           0.000              -1.000 
 GB6J115541+021402 0.87290    109  17.971       9.337           0.063           0.000              -1.000 
 GB6J115650+435534 1.99600    122  20.240       8.667           0.171           8.667               0.171 
 GB6J115735+163905 1.06090    870  17.178       9.283           0.060           0.000              -1.000 
 GB6J115740+470024 2.07790     31  19.570       8.728           0.116           8.728               0.116 
 GB6J115911+030156 1.01000     64  18.968       9.011           0.214           0.000              -1.000 
 GB6J115926+210702 0.00000     88   0.000       9.188           0.034           0.000              -1.000 
 GB6J115932+291453 0.72460   1461  18.097       9.187           0.077           0.000              -1.000 
 GB6J120112+550538 1.19560     35  17.935       9.999           0.062           0.000              -1.000 
 GB6J120129+090026 1.01600     37  16.479       9.662           0.196           0.000              -1.000 
 GB6J120222+083933 2.17810     34  18.076       9.182           0.070           9.182               0.070 
 GB6J120233+275623 0.67230    107  18.325       8.958           0.058           0.000              -1.000 
 GB6J120241+263143 0.47580     82  17.259       9.574           0.057           0.000              -1.000 
 GB6J120321+041423 1.21090    712  18.532      10.027           0.051           0.000              -1.000 
 GB6J120328+480316 0.81690    164  16.224       9.470           0.059           0.000              -1.000 
 GB6J120334+451050 1.07600     43  17.401       9.190           0.146           0.000              -1.000 
 GB6J120402+375842 1.28470     62  19.102       8.640           0.168           0.000              -1.000 
 GB6J120406+233613 1.27640     37  18.862       8.905           0.102           0.000              -1.000 
 GB6J120436+522844 2.73330    213  18.293       8.797           0.027           8.797               0.027 
 GB6J120437+191005 1.65730     89  19.955       8.642           0.341           8.672               0.099 
 GB6J120501+430024 2.94170     64  18.907       9.385           0.063           9.385               0.063 
 GB6J120517+052745 1.29560    179  18.646       9.105           0.063           0.000              -1.000 
 GB6J120539+620444 2.10260     30  20.006       9.086           0.136           9.086               0.136 
 GB6J120547+005326 0.93210    141  18.852       8.366           0.421           0.000              -1.000 
 GB6J120636+394051 1.51800    190  18.649       9.322           0.040           9.225               0.062 
 GB6J120712+121127 0.89000    211  18.846       8.323           0.101           0.000              -1.000 
 GB6J120726+275502 2.18440    457  18.775       9.086           0.031           9.086               0.031 
 GB6J120848+201950 2.63530     31  17.648       9.873           0.273           9.873               0.273 
 GB6J120852+220042 1.65020     77  18.608       9.278           0.080           9.302               0.132 
 GB6J120854+544150 1.34410    207  18.848       8.678           0.081           0.000              -1.000 
 GB6J120943+254718 1.43830    342  19.235       9.209           0.028           0.000              -1.000 
 GB6J120951+181019 0.85040    150  18.618       8.946           0.092           0.000              -1.000 
 GB6J121035+531701 1.79130     40  18.678       9.089           0.098           8.661               0.046 
 GB6J121107+182033 1.51500    381  18.715       9.305           0.057           9.376               0.129 
 GB6J121254+245337 2.37310     91  19.033       9.367           0.121           9.367               0.121 
 GB6J121256+192534 1.24110    502  17.801       9.656           0.075           0.000              -1.000 
 GB6J121332+130727 1.13870    894  18.042       9.374           0.208           0.000              -1.000 
 GB6J121346+000155 0.96160    103  17.907       9.179           0.023           0.000              -1.000 
 GB6J121420+024306 0.00000     59   0.000      10.102           0.073          10.102               0.073 
 GB6J121422+513350 3.31010     41  18.938       9.788           0.231           9.788               0.231 
 GB6J121510+462710 0.72010    168  17.420       9.093           0.051           0.000              -1.000 
 GB6J121540+090543 2.72280     47  18.315       9.591           0.061           9.591               0.061 
 GB6J121544+452912 1.13390     43  18.774       9.192           0.112           0.000              -1.000 
 GB6J121547+642225 3.22600     79  18.585       9.263           0.058           9.263               0.058 
 GB6J121549+155635 0.00000     31   0.000       8.467           0.063           8.467               0.063 
 GB6J121549+315136 2.26000    196  20.062       9.042           0.081           9.042               0.081 
 GB6J121710+583523 2.55230    306  19.064       8.759           0.034           8.759               0.034 
 GB6J121729+060747 2.09420     48  19.307       9.283           0.201           9.283               0.201 
 GB6J121736+515502 2.22570     61  17.436       9.139           0.021           9.139               0.021 
 GB6J121824+110510 1.40020    170  16.784       9.910           0.040           0.000              -1.000 
 GB6J121827+061622 2.07450     50  19.196       9.322           0.058           9.322               0.058 
 GB6J121935+660034 1.26640    111  19.149       8.608           0.119           0.000              -1.000 
 GB6J121944+584146 1.49140     41  18.614       9.550           0.109           0.000              -1.000 
 GB6J121955+403436 1.92650     44  20.150       8.727           0.166           8.727               0.166 
 GB6J122126+441140 1.34440    539  18.332       8.926           0.102           0.000              -1.000 
 GB6J122158+374215 3.18820     39  20.107       8.709           0.301           8.709               0.301 
 GB6J122221+041316 0.96560   1351  16.811       8.248           0.164           0.000              -1.000 
 GB6J122340+461124 1.01280    314  17.679       9.019           0.168           0.000              -1.000 
 GB6J122405+500130 1.06470     31  17.123       9.145           0.117           0.000              -1.000 
 GB6J122426+401526 0.41690     37  18.189       8.967           0.120           0.000              -1.000 
 GB6J122452+033043 0.95590   1221  18.547       8.735           0.099           0.000              -1.000 
 GB6J122455+212245 0.43350   1154  16.099       8.875           0.064           0.000              -1.000 
 GB6J122657+434101 1.99730    154  19.235       9.106           0.074           9.106               0.074 
 GB6J122710+195745 1.96580     58  18.346       9.282           0.068           9.282               0.068 
 GB6J122729+135627 3.34950     89  20.090       8.833           0.079           8.833               0.079 
 GB6J122847+370610 1.51670    856  18.167       8.782           0.051           8.599               0.056 
 GB6J122851+485813 1.72210    350  18.619       9.226           0.239           8.167               0.118 
 GB6J122910+552242 1.40590    106  17.942       9.146           0.040           0.000              -1.000 
 GB6J123121+072527 2.38990     36  18.091       9.398           0.056           9.398               0.056 
 GB6J123127+041815 1.02990    373  17.946       8.661           0.060           0.000              -1.000 
 GB6J123213+180925 1.80650    200  20.617       9.395           0.186           8.629               0.331 
 GB6J123223+195928 2.60960     74  20.006       8.451           0.090           8.451               0.090 
 GB6J123234+514110 1.93550     36  19.178       9.091           0.051           9.091               0.051 
 GB6J123355+482115 0.99990     30   0.000       9.016           0.109           0.000              -1.000 
 GB6J123355+582413 1.51700     43  18.787       9.147           0.082           8.956               0.090 
 GB6J123413+475408 0.37270    268  16.860       8.263           0.113           0.000              -1.000 
 GB6J123431+645545 3.03610     59  19.005       9.818           0.079           9.818               0.079 
 GB6J123450+353418 0.61190     55  20.466       7.741           0.126           0.000              -1.000 
 GB6J123453+674549 1.36500     99  19.024       9.055           0.036           0.000              -1.000 
 GB6J123505+362120 1.59830    234  18.385       9.375           0.044           9.358               0.200 
 GB6J123532+522839 1.65070     80  17.977       9.594           0.118           8.395               0.072 
 GB6J123605+242458 2.93880     87  19.483       9.290           0.189           9.290               0.189 
 GB6J123703+331415 1.28750    195   0.000       9.070           0.163           0.000              -1.000 
 GB6J123717+470816 2.27090     68  18.611       9.422           0.064           9.422               0.064 
 GB6J123736+192458 1.53340    459  18.561       8.850           0.073           8.556               0.038 
 GB6J123756+223445 1.41750    150  17.771       8.943           0.066           0.000              -1.000 
 GB6J123836+234305 2.41570     40  19.020       8.862           0.090           8.862               0.090 
 GB6J123855+193634 3.37340     34  18.756       9.198           0.025           9.198               0.025 
 GB6J123915+405008 1.31650     66  18.626       9.244           0.087           0.000              -1.000 
 GB6J123932+044311 1.76090    319  20.370       8.677           0.792           8.779               0.141 
 GB6J123955+341517 1.16980     59  19.371       8.940           0.095           0.000              -1.000 
 GB6J124003+261721 2.37150     47  20.451       9.088           0.355           9.088               0.355 
 GB6J124008+242533 0.83080     59  16.968       8.986           0.037           0.000              -1.000 
