 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J080018+370305 0.81380     51  18.127       9.192           0.045           0.000              -1.000 
 GB6J080036+501047 1.61470     63  16.891       9.524           0.139           9.813               0.080 
 GB6J080054+450042 2.36390     39  20.345       8.396           0.155           8.396               0.155 
 GB6J080132+473624 0.15690     65  16.157       8.907           0.033           0.000              -1.000 
 GB6J080220+303606 1.64100     42  18.880       9.193           0.046           9.293               0.162 
 GB6J080240+250922 1.66940    285  19.945       8.934           0.136           8.778               0.091 
 GB6J080244+525546 2.01610    120  19.524       8.864           0.165           8.864               0.165 
 GB6J080402+303506 0.95960     81  19.010       8.942           0.095           0.000              -1.000 
 GB6J080408+101214 1.21150     88  18.211       9.282           0.038           0.000              -1.000 
 GB6J080408+131356 1.97200     81  19.366       8.594           0.060           8.594               0.060 
 GB6J080435+424111 1.44120     30  19.862       8.504           0.309           0.000              -1.000 
 GB6J080508+112150 0.95000    121  17.501       8.945           0.058           0.000              -1.000 
 GB6J080700+511740 1.13660    228  18.055       9.170           0.079           0.000              -1.000 
 GB6J080711+131741 3.72640     36  20.143       9.306           0.116           9.306               0.116 
 GB6J080738+135217 1.20760    234  18.204       9.236           0.057           0.000              -1.000 
 GB6J080807+091800 1.11360     61  19.182       9.364           0.128           0.000              -1.000 
 GB6J080818+125419 1.32220     66  18.004       9.021           0.031           0.000              -1.000 
 GB6J080839+051459 0.36060    178  18.449       8.191           0.092           0.000              -1.000 
 GB6J080839+495033 1.43610   1315  18.621       8.842           0.131           0.000              -1.000 
 GB6J080848+272133 1.34880     57  19.596       9.002           0.130           0.000              -1.000 
 GB6J080855+405252 1.41930    690  18.934       8.938           0.102           0.000              -1.000 
 GB6J081025+101050 2.50590    141  17.539      10.283           0.080          10.283               0.080 
 GB6J081032+433508 2.16730    166  20.863       9.206           0.200           9.206               0.200 
 GB6J081058+413359 0.50670    182  19.531       8.264           0.073           0.000              -1.000 
 GB6J081100+571414 0.61090    375  17.827       8.912           0.060           0.000              -1.000 
 GB6J081108+453352 1.01650    127  18.890       8.410           0.169           0.000              -1.000 
 GB6J081247+252242 1.80290    101  18.743       9.447           0.155           9.191               0.081 
 GB6J081301+332100 1.69500     46  19.856       9.043           0.108           8.710               0.114 
 GB6J081303+254215 2.02390    393  18.804       9.250           0.046           9.250               0.046 
 GB6J081310+131622 3.26430     41  19.402       9.504           0.088           9.504               0.088 
 GB6J081409+323734 0.84380    194  18.675       8.799           0.058           0.000              -1.000 
 GB6J081434+560948 0.50930     43  18.124       8.056           0.222           0.000              -1.000 
 GB6J081526+363505 1.02860    994  18.474       9.203           0.029           0.000              -1.000 
 GB6J081528+095440 1.69780     91  20.066       8.333           0.253           8.169               0.747 
 GB6J081638+524434 1.52190     37  18.830       9.313           0.222           8.734               0.135 
 GB6J081710+235225 1.73230    147  18.960       8.530           0.152           8.579               0.093 
 GB6J081902+322642 0.65120    209  20.383       8.446           0.254           0.000              -1.000 
 GB6J082054+100622 0.95560     64  18.558       8.196           0.417           0.000              -1.000 
 GB6J082106+310756 2.62550    161  17.062       9.790           0.023           9.790               0.023 
 GB6J082154+503136 2.13260     53  17.816       9.714           0.044           9.714               0.044 
 GB6J082231+231239 0.65300     36  17.708       9.972           0.069           0.000              -1.000 
 GB6J082255+060529 1.98550     63  19.376       9.290           0.085           9.290               0.085 
 GB6J082257+404146 0.86540    266  18.883       8.801           0.061           0.000              -1.000 
 GB6J082329+061148 2.78280     70  17.848       9.741           0.033           9.741               0.033 
 GB6J082427+234112 2.56770     87  18.763       9.790           0.045           9.790               0.045 
 GB6J082437+405712 0.61240    138  17.055       9.192           0.048           0.000              -1.000 
 GB6J082447+555238 1.41810   1155  18.095       9.420           0.067           0.000              -1.000 
 GB6J082456+391645 1.21530   1031  17.919       8.242           0.216           0.000              -1.000 
 GB6J082546+270420 0.69330    150  19.680       8.301           0.500           0.000              -1.000 
 GB6J082644+143412 2.31230     62  18.114       9.462           0.066           9.462               0.066 
 GB6J082646+065434 0.96560     49  17.915       9.404           0.131           0.000              -1.000 
 GB6J082652+125655 0.59170    131  18.787       8.481           0.053           0.000              -1.000 
 GB6J082706+105220 2.28150    167  18.947       9.228           0.141           9.228               0.141 
 GB6J082751+521802 0.33810    292  19.268       8.267           0.054           0.000              -1.000 
 GB6J082836+504845 0.92860    128  19.012       8.717           0.110           0.000              -1.000 
 GB6J083031+052002 2.21700    127  18.372       8.785           0.038           8.785               0.038 
 GB6J083052+241047 0.94200    886  17.109       9.011           0.145           0.000              -1.000 
 GB6J083058+072916 1.57940    121  18.250       8.704           0.659           8.684               0.058 
 GB6J083149+042949 0.17380   1913  15.398       9.415           0.397           0.000              -1.000 
 GB6J083154+084800 0.94140    115  19.707       8.728           0.078           0.000              -1.000 
 GB6J083248+422451 1.05090    255  18.563       9.197           0.114           0.000              -1.000 
 GB6J083249+155413 2.41650    274  18.358       9.705           0.047           9.705               0.047 
 GB6J083313+112400 2.97900    294  18.323       9.338           0.021           9.338               0.021 
 GB6J083322+095956 3.73100     93  18.816       9.665           0.093           9.665               0.093 
 GB6J083337+213208 0.57810     53  19.820       8.833           0.469           0.000              -1.000 
 GB6J083417+601950 0.71660    297  19.781       8.036           0.065           0.000              -1.000 
 GB6J083430+240133 1.42120     57  17.558       9.824           0.071           0.000              -1.000 
 GB6J083521+290924 1.26890     32  20.402       9.476           0.161           0.000              -1.000 
 GB6J083636+412550 1.30040    385  17.402       9.260           0.076           0.000              -1.000 
 GB6J083713+165943 0.73120     39  18.497       9.311           0.028           0.000              -1.000 
 GB6J083720+582514 2.10100    717  17.861       9.796           0.075           9.796               0.075 
 GB6J083731+481021 1.79540     60  19.395       8.708           0.135           8.606               0.043 
 GB6J083741+245424 1.12540    458  17.983       8.836           0.058           0.000              -1.000 
 GB6J083755+050724 1.20760     34  19.306       8.833           0.305           0.000              -1.000 
 GB6J083852+115119 2.29310     82  19.407       9.110           0.059           9.110               0.059 
 GB6J083910+200201 3.03510    107  19.816       8.998           0.179           8.998               0.179 
 GB6J083945+511206 4.39030     51  19.374       9.947           0.180           9.947               0.180 
 GB6J083956+025204 3.68120     60  20.539       7.943           0.141           7.943               0.141 
 GB6J084050+444002 1.33420    128  20.078       9.743           0.325           0.000              -1.000 
 GB6J084154+231957 1.18860    115  17.493       9.183           0.047           0.000              -1.000 
 GB6J084204+401823 0.15160     42  17.086       8.897           0.012           0.000              -1.000 
 GB6J084205+183552 1.27030    898  16.544       9.794           0.056           0.000              -1.000 
 GB6J084215+452547 1.40800     54  17.281       9.484           0.091           0.000              -1.000 
 GB6J084224+205600 3.57160     39  19.421       9.789           0.091           9.789               0.091 
 GB6J084249+515331 1.13680     37  18.695       8.764           0.123           0.000              -1.000 
 GB6J084346+582318 1.49030    133  19.618       9.922           0.129           0.000              -1.000 
 GB6J084352+374232 1.73970     61  18.839       9.485           0.070           9.284               0.027 
 GB6J084411+224105 1.96940     33  20.439       8.584           0.093           8.584               0.093 
 GB6J084416+134032 1.73880    114  18.295       9.078           0.201           9.447               0.038 
 GB6J084424+511457 1.24660     30  19.149       9.499           0.024           0.000              -1.000 
 GB6J084520+271843 1.26660     31  18.440       9.221           0.068           0.000              -1.000 
 GB6J084542+172452 1.29420     37  18.663       9.180           0.039           0.000              -1.000 
 GB6J084559+070437 0.34200    253  16.995       8.922           0.022           0.000              -1.000 
 GB6J084604+163909 1.95080     93  19.110       8.956           0.056           8.956               0.056 
 GB6J084649+064152 0.61610    103  17.305       9.475           0.063           0.000              -1.000 
 GB6J084715+383105 3.16560    136  18.409       8.866           0.042           8.866               0.042 
 GB6J084734+460933 1.21630    232  19.065       8.889           0.188           0.000              -1.000 
 GB6J084957+510844 0.58350    161  18.325       7.986           0.120           0.000              -1.000 
 GB6J085008+593054 1.71990     37  16.607       9.649           0.194           9.312               0.017 
 GB6J085021+624605 1.15190     32  17.633       9.629           0.096           0.000              -1.000 
 GB6J085025+374659 0.40680    391  19.949       8.550           0.870           0.000              -1.000 
 GB6J085042+515913 1.89350     68  18.962      10.319           0.114           8.494               0.050 
 GB6J085118+135801 0.95140     38  18.930       8.858           0.096           0.000              -1.000 
 GB6J085133+201059 1.55060     52  19.190       9.078           0.069           8.954               0.123 
 GB6J085142+405100 0.58300     74  19.438       8.353           0.127           0.000              -1.000 
 GB6J085205+283400 1.28220    329  19.002       9.070           0.223           0.000              -1.000 
 GB6J085221+473525 2.41800     40  20.225       8.332           0.228           8.332               0.228 
 GB6J085244+343543 1.65530     49  18.929       9.617           0.063           8.859               0.149 
 GB6J085317+281343 0.92000    109  18.048       8.831           0.049           0.000              -1.000 
 GB6J085354+142957 0.48340     50  19.223       8.157           0.100           0.000              -1.000 
 GB6J085416+532731 2.41850     32  17.197       9.951           0.083           9.951               0.083 
 GB6J085434+072032 0.65440    327  19.835       8.364           0.098           0.000              -1.000 
 GB6J085440+575730 1.31780   1184  17.755       9.462           0.051           0.000              -1.000 
 GB6J085625+102031 3.67910     68  18.998       9.428           0.090           9.428               0.090 
 GB6J085633+033446 1.16940     67  18.420       9.151           0.116           0.000              -1.000 
 GB6J085646+235617 0.59280     36  20.400       7.272           1.095           0.000              -1.000 
 GB6J085658+211132 2.10630    349  19.477       9.465           0.095           9.465               0.095 
 GB6J085726+530248 1.43710     82  18.898       9.167           0.299           0.000              -1.000 
 GB6J085728+423707 2.00860     51  19.270       8.804           0.067           8.804               0.067 
 GB6J090021+410836 1.62940    208  18.421       8.642           0.142           8.574               0.069 
 GB6J090052+135701 3.18700     30  19.811       9.252           0.212           9.252               0.212 
 GB6J090111+044915 1.86220     79  19.317       8.770           0.672           8.749               0.168 
 GB6J090227+044315 0.53190    106  18.839       8.038           0.133           0.000              -1.000 
 GB6J090303+193109 0.98120     45  19.224       9.089           0.055           0.000              -1.000 
 GB6J090303+465058 1.47090   1264  18.978       9.360           0.039           0.000              -1.000 
 GB6J090339+120340 1.05880     40  18.379       9.408           0.051           0.000              -1.000 
 GB6J090354+254658 0.82790     67  19.215       8.880           0.127           0.000              -1.000 
 GB6J090430+281937 1.12070     71  17.246       9.224           0.041           0.000              -1.000 
 GB6J090443+233342 2.25730     99  17.300       9.749           0.033           9.749               0.033 
 GB6J090504+274823 1.48650    159  19.798       8.504           0.061           0.000              -1.000 
 GB6J090527+154152 1.78610     62  19.548       8.885           0.220           8.702               0.271 
 GB6J090528+485051 2.68800    553  17.510       9.793           0.028           9.793               0.028 
 GB6J090535+355544 2.83870     55  18.393      10.145           0.097          10.145               0.097 
 GB6J090541+284938 1.21550    196  18.792       9.093           0.019           0.000              -1.000 
 GB6J090549+041022 3.15070    114  19.161       9.385           0.070           9.385               0.070 
 GB6J090553+025917 1.82550     62  16.899       9.601           0.108          10.154               0.048 
 GB6J090602+314234 3.54260     39  18.743       9.062           0.030           9.062               0.030 
 GB6J090603+194156 1.20550     78  16.634       9.618           0.023           0.000              -1.000 
 GB6J090609+201547 0.82080    114  19.570       8.709           0.092           0.000              -1.000 
 GB6J090814+514706 1.00270     38  18.168       9.340           0.020           0.000              -1.000 
 GB6J090835+415049 0.73370    222  18.655       8.732           0.097           0.000              -1.000 
 GB6J090909+012136 1.02550    896  17.406       9.326           0.057           0.000              -1.000 
