classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii
GB6J124610+592633	36	21.234	0	0.000000	191.547690	59.441563	57.6740
GB6J124617+322843	69	18.959	1	1.561390	191.576343	32.482388	84.5315
GB6J124619+262649	118	17.054	4	0.088600	191.583338	26.435900	88.6670
GB6J124632+023818	46	18.207	1	0.362250	191.644378	2.635865	65.4800
GB6J124635+115355	40	16.578	4	0.047170	191.640644	11.896644	74.7255
GB6J124708+274118	168	19.302	1	2.435540	191.787643	27.689703	88.8953
GB6J124708+324701	42	18.212	4	0.135130	191.790361	32.784725	84.2683
GB6J124721+435547	97	21.483	1	2.987250	191.837898	43.933090	73.1750
GB6J124732+672322	174	17.627	4	0.107300	191.888866	67.387901	49.7360
GB6J124747+102238	120	17.366	1	1.382000	191.947260	10.375439	73.2252
GB6J124754+212804	83	20.614	1	4.069390	191.974440	21.466143	84.2808
GB6J124756+261421	39	19.729	0	0.000000	191.977816	26.237434	88.8109
GB6J124804+082223	72	21.093	1	2.183410	192.025637	8.375786	71.2309
GB6J124818+582029	356	15.337	6	0.847000	192.078266	58.341313	58.7821
GB6J124832+512802	88	17.765	6	0.351000	192.142940	51.468861	65.6534
GB6J124837+202224	140	18.169	1	0.768020	192.155270	20.373972	83.2151
GB6J124838+152940	38	20.005	0	0.000000	192.151780	15.503558	78.3567
GB6J124841+263357	78	20.894	1	2.862960	192.172265	26.565678	89.1680
GB6J124851+483956	160	20.553	1	1.855780	192.212277	48.664764	68.4576
GB6J124912+152333	114	21.731	0	0.000000	192.305274	15.393622	78.2541
GB6J124912+652849	55	21.266	0	0.000000	192.299523	65.477562	51.6491
GB6J124917+210154	64	19.119	1	0.849740	192.323070	21.029857	83.8820
GB6J124918+281744	119	18.471	1	1.706430	192.326718	28.295448	88.7412
GB6J124935+154248	48	20.686	0	0.000000	192.394910	15.719048	78.5827
GB6J124935+492428	31	18.861	1	0.966560	192.397985	49.407177	67.7182
GB6J124959+250918	32	18.729	1	1.536070	192.518063	25.161867	88.0099
GB6J125003+114732	72	21.190	4	0.612850	192.513657	11.785030	74.6533
GB6J125009+162135	234	17.698	1	0.850040	192.538448	16.355963	79.2236
GB6J125026+001323	82	16.831	4	0.046770	192.614265	0.229315	63.1000
GB6J125027+134350	280	17.994	1	1.200670	192.617569	13.727884	76.5977
GB6J125040+520444	44	21.909	1	2.376210	192.671571	52.075340	65.0525
GB6J125043+593519	48	22.514	0	0.000000	192.676435	59.590717	57.5373
GB6J125102+282329	127	20.337	0	0.000000	192.763281	28.393724	88.7317
GB6J125102+384502	101	19.045	1	1.505500	192.761121	38.752037	78.3759
GB6J125114+060325	99	18.439	1	1.337960	192.802906	6.058014	68.9297
GB6J125146+431733	55	18.802	1	1.440060	192.943067	43.291588	73.8365
GB6J125150+275137	105	21.322	0	0.000000	192.960448	27.854582	89.2682
GB6J125158+305453	32	22.010	0	0.000000	192.974725	30.905911	86.2210
GB6J125203+134429	52	20.045	0	0.000000	193.017111	13.747308	76.6182
GB6J125219+132211	32	21.371	4	0.840060	193.072901	13.367918	76.2382
GB6J125220+395108	67	19.311	4	0.225300	193.087005	39.850224	77.2766
GB6J125226+191015	35	19.034	1	0.921940	193.116002	19.177273	82.0455
GB6J125227+193741	36	19.326	1	0.937580	193.115230	19.624716	82.4928
GB6J125229+142508	41	18.683	1	0.954450	193.120608	14.416117	77.2855
GB6J125236+160708	80	20.040	0	0.000000	193.152137	16.118610	78.9870
GB6J125239+331112	167	19.647	1	0.489140	193.167873	33.182816	83.9396
GB6J125241+024619	71	20.600	1	1.537800	193.174395	2.771222	65.6411
GB6J125248+112934	54	17.118	1	0.874170	193.207798	11.492556	74.3609
GB6J125251+174022	34	20.156	1	1.188670	193.208599	17.666880	80.5331
GB6J125259+550113	31	18.978	1	2.897130	193.268051	55.018989	62.1077
GB6J125305+290511	40	17.943	1	2.575260	193.276720	29.087191	88.0068
GB6J125311+530113	363	17.550	6	1.380280	193.299680	53.019928	64.1063
GB6J125314+035802	58	19.535	0	0.000000	193.303513	3.963239	66.8311
GB6J125314+273941	116	20.555	0	0.000000	193.310337	27.661570	89.3331
GB6J125330+572728	35	20.256	1	2.502590	193.358545	57.460693	59.6655
GB6J125339+410736	114	20.542	0	0.000000	193.412919	41.123463	75.9974
GB6J125345+032638	69	16.088	4	0.066000	193.445864	3.441782	66.3069
GB6J125348+055955	41	21.483	0	0.000000	193.453002	5.991573	68.8558
GB6J125351+053524	86	20.769	0	0.000000	193.469739	5.576987	68.4409
GB6J125359+002317	67	20.112	0	0.000000	193.485489	0.393005	63.2580
GB6J125418+152823	106	19.404	1	0.202340	193.576784	15.473116	78.3258
GB6J125421+054555	63	20.209	1	2.251640	193.592477	5.772146	68.6325
GB6J125421+060814	40	21.673	0	0.000000	193.586798	6.133511	68.9938
GB6J125428+453607	151	18.657	1	1.646620	193.620114	45.601200	71.5171
GB6J125431+262027	39	17.302	4	0.069100	193.630972	26.344606	88.9565
GB6J125433+185557	127	18.042	4	0.115440	193.638625	18.933870	81.7744
GB6J125434+613507	43	20.690	4	0.502210	193.633418	61.582123	55.5422
GB6J125438+114104	724	16.747	1	0.872000	193.659396	11.684971	74.5384
GB6J125441+295123	67	20.415	1	2.421670	193.673172	29.857868	87.1783
GB6J125445+023346	170	20.672	0	0.000000	193.689437	2.558042	65.4169
GB6J125458+085959	395	23.093	0	0.000000	193.745656	8.996541	71.8489
GB6J125459+253159	32	18.713	4	0.191850	193.750176	25.542194	88.2244
GB6J125500+034034	77	17.965	1	0.437000	193.752065	3.678642	66.5349
GB6J125504+533158	59	20.584	1	0.512610	193.788915	53.533157	63.5861
GB6J125506+622055	47	17.862	1	1.984040	193.783708	62.347340	54.7756
GB6J125508+183256	40	21.275	0	0.000000	193.789687	18.553757	81.3829
GB6J125514+135055	117	20.785	0	0.000000	193.809772	13.849095	76.6912
GB6J125529+630500	33	22.759	0	0.000000	193.870554	63.089432	54.0327
GB6J125532+181746	495	19.753	1	1.366000	193.882327	18.297478	81.1191
GB6J125543+612501	97	19.808	1	2.055000	193.937559	61.414131	55.7064
GB6J125552+530332	65	19.643	4	0.297790	193.969145	53.063805	64.0513
GB6J125558+553837	43	20.120	4	0.359820	193.997440	55.646969	61.4694
GB6J125614+565220	415	13.379	1	0.042170	194.059310	56.873676	60.2423
GB6J125635+124738	107	19.247	0	0.000000	194.145227	12.792855	75.6141
GB6J125717+245451	74	17.926	1	1.495880	194.326258	24.911837	87.4213
GB6J125741+183714	45	20.216	1	1.348860	194.417467	18.622664	81.3745
GB6J125752+475022	97	19.650	1	0.528110	194.469752	47.839054	69.2510
GB6J125757+322936	488	18.798	1	0.805000	194.488463	32.491478	84.4539
GB6J125802+282025	64	19.308	1	1.072360	194.508047	28.333992	88.1070
GB6J125804+185159	61	19.924	0	0.000000	194.514027	18.862524	81.5955
GB6J125821+212351	33	20.220	0	0.000000	194.589372	21.397577	84.0565
GB6J125825+483111	33	20.605	1	0.480800	194.599872	48.515526	68.5700
GB6J125832+290908	34	18.919	1	3.457699	194.633961	29.150856	87.4428
GB6J125834+653028	33	22.159	0	0.000000	194.643674	65.523163	51.5886
GB6J125835+003827	84	19.253	1	0.724680	194.645462	0.642254	63.4585
GB6J125850+250811	53	20.592	0	0.000000	194.710035	25.128311	87.4000
GB6J125910+413009	31	18.819	4	0.278290	194.786010	41.493816	75.5477
GB6J125913+205732	35	19.037	1	1.254160	194.799428	20.960554	83.5833
