classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii
GB6J000007+081644	52	17.416	0	0.000000	0.029309	8.279178	-52.4728
GB6J000010+305556	49	20.463	0	0.000000	0.042045	30.933172	-30.6630
GB6J000026+030706	91	18.736	1	2.353010	0.112596	3.121010	-57.3456
GB6J000035+291424	96	20.059	0	0.000000	0.146373	29.243284	-32.3282
GB6J000054+251605	39	19.336	0	0.000000	0.233713	25.272264	-36.2051
GB6J000107+024313	36	21.904	0	0.000000	0.289735	2.719330	-57.7841
GB6J000109+191428	233	21.551	1	3.100000	0.285927	19.242727	-42.0543
GB6J000114+235801	121	18.002	0	0.000000	0.311935	23.969616	-37.4861
GB6J000115+061415	48	18.132	4	0.095640	0.309767	6.239447	-54.4907
GB6J000122+252655	73	21.031	0	0.000000	0.340301	25.448755	-36.0568
GB6J000128+063227	41	16.420	0	0.000000	0.348739	6.541935	-54.2181
GB6J000132+135256	49	19.153	1	2.858990	0.384280	13.882912	-47.2382
GB6J000132+211338	119	18.969	0	0.000000	0.384875	21.226727	-40.1603
GB6J000134+072319	88	19.481	0	0.000000	0.393555	7.386917	-53.4338
GB6J000226+142044	62	20.172	1	2.142140	0.600565	14.345511	-46.8528
GB6J000239+160540	66	22.297	0	0.000000	0.667484	16.095737	-45.1858
GB6J000253+294244	52	20.407	0	0.000000	0.718465	29.714773	-31.9816
GB6J000301+183812	143	18.440	0	0.000000	0.754832	18.633049	-42.7577
GB6J000313+021506	51	19.064	0	0.000000	0.812347	2.249288	-58.4103
GB6J000313+274028	57	18.432	1	2.232910	0.804525	27.679176	-33.9830
GB6J000314+162934	105	20.472	0	0.000000	0.799402	16.484192	-44.8447
GB6J000318+245940	98	20.857	0	0.000000	0.817962	24.994015	-36.6004
GB6J000319+212950	293	20.326	1	0.450000	0.830618	21.495672	-40.0022
GB6J000322+071713	31	18.528	0	0.000000	0.846860	7.287189	-53.6711
GB6J000345+160536	109	19.486	1	2.307410	0.942071	16.096664	-45.2545
GB6J000354+300958	34	20.442	0	0.000000	0.981910	30.167381	-31.5896
GB6J000355+324208	85	21.153	4	0.533230	0.984746	32.699326	-29.1158
GB6J000356+061547	40	19.684	0	0.000000	0.991465	6.264750	-54.6868
GB6J000410+082205	46	17.250	0	0.000000	1.044148	8.365987	-52.7043
GB6J000430+050509	40	21.262	0	0.000000	1.129911	5.083712	-55.8500
GB6J000434+294606	83	16.920	0	0.000000	1.144334	29.771047	-32.0068
GB6J000435+201933	151	21.668	1	0.677000	1.148986	20.328402	-41.2067
GB6J000459+114204	33	18.508	5	0.076000	1.243535	11.700910	-49.5675
GB6J000519+052349	303	16.225	1	1.900000	1.334227	5.402984	-55.6122
GB6J000544+003611	38	20.964	1	2.612970	1.436656	0.599335	-60.1743
GB6J000544+330904	31	18.717	0	0.000000	1.421726	33.130516	-28.7692
GB6J000554+041857	41	20.831	0	0.000000	1.486880	4.315102	-56.6921
GB6J000607+342216	64	18.786	0	0.000000	1.530761	34.372337	-27.5704
GB6J000614+272136	42	19.286	0	0.000000	1.566818	27.366173	-34.4357
GB6J000622+123604	209	16.514	0	0.000000	1.596063	12.598071	-48.7967
GB6J000631+054904	105	18.689	0	0.000000	1.635959	5.814619	-55.3137
GB6J000646+172814	159	18.559	0	0.000000	1.697341	17.470482	-44.1056
GB6J000648+200103	49	20.126	0	0.000000	1.701221	20.020267	-41.6281
GB6J000649+242232	189	18.787	1	1.684000	1.703286	24.376801	-37.3821
GB6J000657+141549	152	18.506	0	0.000000	1.739725	14.262997	-47.2244
GB6J000757+102729	246	21.222	0	0.000000	1.982003	10.462312	-50.9563
GB6J000800+114346	143	21.812	0	0.000000	2.003484	11.733537	-49.7354
GB6J000809+024406	62	21.241	0	0.000000	2.035844	2.732387	-58.3669
GB6J000828+125715	41	21.773	0	0.000000	2.096075	12.961385	-48.5713
GB6J000902+191219	31	20.368	0	0.000000	2.266497	19.214954	-42.5330
GB6J000903+062820	259	18.936	6	1.561800	2.266378	6.472549	-54.8694
GB6J000917+062549	156	19.419	1	2.694000	2.321078	6.431869	-54.9239
GB6J000923+050722	51	20.849	0	0.000000	2.350713	5.123616	-56.1854
GB6J000935+180345	270	16.647	0	0.000000	2.395249	18.061943	-43.6842
GB6J000942+151357	121	19.742	1	2.239470	2.431126	15.227206	-46.4518
GB6J000950+060533	56	20.494	1	2.310870	2.446259	6.097351	-55.2799
GB6J000956+355813	35	18.752	0	0.000000	2.471855	35.973194	-26.1427
GB6J001009+005456	37	23.335	0	0.000000	2.541511	0.911148	-60.2541
GB6J001012+283752	46	21.060	0	0.000000	2.546099	28.636599	-33.3650
GB6J001016+112106	30	24.086	0	0.000000	2.569163	11.346310	-50.2507
GB6J001028+204801	121	19.367	1	0.600000	2.619759	20.797146	-41.0598
GB6J001028+285502	37	20.151	1	0.694520	2.615774	28.916315	-33.1020
GB6J001030+105845	435	16.145	1	0.089000	2.629194	10.974864	-50.6251
GB6J001033+172437	989	16.699	1	1.601000	2.641623	17.405209	-44.3767
GB6J001051+265029	64	18.498	0	0.000000	2.713436	26.840557	-35.1562
GB6J001115+144608	31	19.624	1	4.964320	2.813483	14.767168	-46.9846
GB6J001124+242014	110	17.808	0	0.000000	2.852423	24.339558	-37.6342
GB6J001131+005742	140	20.721	1	1.492000	2.876680	0.964396	-60.3097
GB6J001134+082400	400	19.185	0	0.000000	2.896950	8.398763	-53.1842
GB6J001144+292820	107	19.241	1	2.625510	2.941598	29.475163	-32.6055
GB6J001154+083359	87	19.835	1	2.204530	2.979857	8.566758	-53.0427
GB6J001209+071956	83	21.026	0	0.000000	3.034801	7.330902	-54.2511
GB6J001230+175129	42	19.651	0	0.000000	3.131627	17.858326	-44.0346
GB6J001246+335339	77	20.372	1	1.682000	3.197427	33.894016	-28.2936
GB6J001258+020136	51	19.578	4	0.266570	3.246754	2.031008	-59.4044
GB6J001307+205335	41	17.795	1	3.530000	3.296234	20.895204	-41.0921
GB6J001330+283413	32	21.594	0	0.000000	3.386073	28.580866	-33.5550
GB6J001356+191036	244	17.698	6	0.477000	3.484903	19.178307	-42.8103
GB6J001414+055246	50	18.861	0	0.000000	3.551209	5.879764	-55.7854
GB6J001420+085401	179	18.491	4	0.162000	3.582258	8.900566	-52.8655
GB6J001449+364145	30	18.821	0	0.000000	3.702873	36.698872	-25.5938
GB6J001450+385512	47	16.935	0	0.000000	3.720402	38.921825	-23.4000
GB6J001451+173646	46	17.881	0	0.000000	3.710156	17.611731	-44.3882
GB6J001453+180803	45	20.848	1	2.448820	3.718882	18.130287	-43.8815
GB6J001525+080155	130	23.236	0	0.000000	3.857730	8.034503	-53.7715
GB6J001541+170027	139	20.960	1	1.709000	3.916621	17.011291	-45.0157
GB6J001554+040029	48	21.235	1	0.759040	3.973895	4.010962	-57.6997
GB6J001557+111223	31	19.278	0	0.000000	3.990389	11.201132	-50.7163
GB6J001603+244008	57	17.716	0	0.000000	4.015070	24.670773	-37.5032
GB6J001637+034025	34	22.290	0	0.000000	4.150801	3.682099	-58.0628
GB6J001737+145054	58	17.864	6	0.303000	4.403771	14.850528	-47.2263
GB6J001808+225936	54	20.658	0	0.000000	4.533225	22.993458	-39.2366
GB6J001829+031914	33	16.493	0	0.000000	4.624790	3.317588	-58.5338
GB6J001837+041532	142	19.784	1	2.699350	4.657081	4.262309	-57.6246
GB6J001851+290719	44	18.098	0	0.000000	4.712148	29.127602	-33.2052
GB6J001856+264901	31	20.669	0	0.000000	4.743728	26.818213	-35.4918
GB6J001933+145728	83	22.357	0	0.000000	4.888340	14.960547	-47.2059
GB6J001937+295604	95	15.587	0	0.000000	4.907461	29.933868	-32.4330
GB6J001938+202145	710	20.469	6	0.000000	4.907723	20.362659	-41.8886
GB6J001939+260248	435	15.810	1	0.284000	4.915756	26.047874	-36.2767
GB6J001941+115559	52	21.182	0	0.000000	4.918823	11.932254	-50.1865
GB6J001953+264735	66	20.877	0	0.000000	4.968879	26.792236	-35.5481
GB6J001958+332000	50	19.512	1	2.631770	4.994472	33.334076	-29.0781
GB6J002023+102618	114	21.085	0	0.000000	5.094047	10.435578	-51.6882
GB6J002030+132444	32	19.079	1	1.259350	5.122808	13.412746	-48.7692
GB6J002121+155127	35	19.640	1	3.700360	5.333564	15.857155	-46.3984
GB6J002136+105005	40	22.289	0	0.000000	5.404232	10.835528	-51.3532
GB6J002142+354641	31	19.301	1	2.732940	5.428653	35.783237	-26.6990
GB6J002155+232557	69	19.832	0	0.000000	5.484384	23.432575	-38.9398
GB6J002230+125649	30	19.808	4	0.255110	5.630459	12.949830	-49.3122
GB6J002233+060813	243	18.541	6	0.000000	5.635169	6.134498	-56.0105
GB6J002233+235919	89	19.799	0	0.000000	5.639810	23.990160	-38.4087
GB6J002238+014657	92	19.761	0	0.000000	5.659270	1.784006	-60.2671
GB6J002242+175605	34	18.965	0	0.000000	5.671610	17.942728	-44.3930
GB6J002302+012345	34	19.532	0	0.000000	5.778315	1.389289	-60.6784
GB6J002305+291547	60	16.872	0	0.000000	5.768992	29.263109	-33.2011
GB6J002320+190449	73	20.610	1	4.663410	5.838752	19.080036	-43.2932
GB6J002331+010052	55	20.799	0	0.000000	5.881608	1.020884	-61.0606
GB6J002339+144512	73	19.597	0	0.000000	5.914038	14.756371	-47.5762
GB6J002342+055203	81	19.347	0	0.000000	5.929040	5.875157	-56.3223
GB6J002344+193255	68	22.386	0	0.000000	5.930100	19.548246	-42.8429
GB6J002353+375405	55	22.477	0	0.000000	5.971230	37.901306	-24.6505
GB6J002401+160234	37	18.858	6	0.769960	6.005345	16.042761	-46.3195
GB6J002402+230311	39	20.310	0	0.000000	6.005604	23.052429	-39.3842
GB6J002412+073006	45	23.119	0	0.000000	6.051778	7.506558	-54.7429
GB6J002427+243931	192	22.088	1	1.444000	6.113885	24.657307	-37.8073
GB6J002444+034907	49	19.683	1	0.545000	6.188407	3.817658	-58.3906
GB6J002504+181637	55	19.748	0	0.000000	6.269578	18.286703	-44.1376
GB6J002511+203822	41	20.430	0	0.000000	6.294455	20.644348	-41.8062
GB6J002549+040903	32	22.053	0	0.000000	6.458782	4.155089	-58.1114
GB6J002554+083719	139	18.189	1	0.814170	6.476081	8.619832	-53.7203
GB6J002641+350819	463	19.710	0	0.000000	6.673852	35.145077	-27.4528
GB6J002700+283015	85	21.286	0	0.000000	6.752428	28.507530	-34.0567
GB6J002705+093001	179	18.580	0	0.000000	6.774140	9.499361	-52.9000
GB6J002715+224153	299	16.374	1	1.119000	6.814058	22.699495	-39.8307
GB6J002718+265347	30	20.293	0	0.000000	6.813873	26.901487	-35.6584
GB6J002726+260702	54	19.904	4	0.360000	6.862489	26.118651	-36.4410
GB6J002747+015152	42	22.148	0	0.000000	6.956090	1.867104	-60.4519
GB6J002802+244825	38	19.376	0	0.000000	7.016396	24.806120	-37.7608
GB6J002812+141916	36	20.482	0	0.000000	7.053700	14.319601	-48.1707
GB6J002819+154957	32	18.753	1	1.156570	7.079655	15.834737	-46.6723
GB6J002829+200017	309	20.063	1	1.551700	7.124244	20.007421	-42.5380
GB6J002830+170738	46	19.338	0	0.000000	7.125253	17.129088	-45.3944
GB6J002833+240803	99	19.510	6	0.373000	7.142547	24.135595	-38.4401
GB6J002838+003551	57	19.605	1	0.687000	7.165719	0.595041	-61.7407
GB6J002845+075807	203	22.125	0	0.000000	7.191627	7.966462	-54.4781
GB6J002853+355039	35	19.338	0	0.000000	7.216540	35.843353	-26.8037
GB6J002903+050931	377	18.529	1	1.633000	7.264965	5.159672	-57.2620
GB6J002912+055410	47	19.621	0	0.000000	7.306767	5.908393	-56.5293
GB6J002913+345634	1182	20.981	4	0.516610	7.309348	34.942291	-27.7079
GB6J002915+224304	38	19.207	0	0.000000	7.313814	22.717464	-39.8669
GB6J002945+055443	330	18.935	1	1.314000	7.441234	5.911296	-56.5471
GB6J003011+222815	89	20.693	0	0.000000	7.543768	22.468388	-40.1378
GB6J003013+055530	127	19.220	0	0.000000	7.551110	5.924139	-56.5509
GB6J003019+380343	54	18.670	0	0.000000	7.577560	38.066948	-24.6172
GB6J003020+341556	52	21.066	0	0.000000	7.589440	34.266777	-28.4023
GB6J003036+170459	50	21.367	0	0.000000	7.654341	17.086702	-45.4976
GB6J003126+150729	93	20.063	1	4.290270	7.861678	15.127648	-47.4665
GB6J003200+031059	47	22.366	0	0.000000	7.974735	3.187047	-59.3203
GB6J003207+243917	37	22.467	0	0.000000	8.035619	24.660198	-38.0030
GB6J003245+275856	36	20.761	0	0.000000	8.185533	27.982111	-34.7073
GB6J003256+145621	51	19.934	1	2.521180	8.235954	14.943742	-47.6893
GB6J003312+033546	64	19.715	0	0.000000	8.303694	3.597261	-58.9612
GB6J003320+135420	58	21.480	0	0.000000	8.334610	13.905740	-48.7316
GB6J003345+360044	54	18.650	0	0.000000	8.436915	36.010361	-26.7238
GB6J003350+401359	49	19.627	0	0.000000	8.458695	40.236843	-22.5106
GB6J003401+390023	85	21.958	0	0.000000	8.509985	39.010422	-23.7366
GB6J003421+034809	81	19.464	0	0.000000	8.587680	3.806361	-58.7915
GB6J003437+200755	47	18.599	0	0.000000	8.658756	20.136856	-42.5600
GB6J003443+275423	587	18.386	1	2.964000	8.681198	27.907160	-34.8186
GB6J003444+333020	54	19.080	1	2.227140	8.691174	33.505157	-29.2376
GB6J003454+371205	103	20.700	0	0.000000	8.730905	37.206997	-25.5479
GB6J003505+180842	52	18.627	1	2.464300	8.771881	18.147947	-44.5506
GB6J003511+010418	64	20.373	1	2.259900	8.803782	1.075183	-61.5276
GB6J003511+013348	77	20.303	0	0.000000	8.794100	1.562552	-61.0432
GB6J003534+314335	31	21.303	0	0.000000	8.888999	31.736076	-31.0141
GB6J003544+143803	328	19.367	1	2.447860	8.933706	14.633875	-48.0644
GB6J003551+152651	54	18.725	1	1.117180	8.964586	15.447590	-47.2567
GB6J003553+100204	39	21.823	0	0.000000	8.972769	10.036553	-52.6445
GB6J003609+353821	47	19.608	0	0.000000	9.042952	35.637150	-27.1313
GB6J003622+034107	35	21.813	1	1.586650	9.094562	3.686812	-58.9712
GB6J003634+143402	203	22.340	0	0.000000	9.146291	14.567665	-48.1486
GB6J003647+331612	36	19.122	0	0.000000	9.195324	33.268433	-29.5031
GB6J003653+123454	37	21.981	0	0.000000	9.225878	12.581660	-50.1338
GB6J003659+183202	126	20.762	0	0.000000	9.247556	18.534361	-44.2033
GB6J003659+295849	88	19.570	0	0.000000	9.249262	29.982384	-32.7850
GB6J003719+261313	114	17.675	4	0.147690	9.329814	26.220064	-36.5436
GB6J003723+214206	128	21.463	6	0.598000	9.348098	21.698114	-41.0556
GB6J003726+110937	462	20.972	0	0.000000	9.358508	11.164132	-51.5572
GB6J003745+020011	60	21.592	4	0.673770	9.441198	2.003316	-60.6828
GB6J003748+162525	165	18.746	0	0.000000	9.453878	16.421482	-46.3251
GB6J003759+160629	77	20.601	1	3.344654	9.500844	16.110813	-46.6383
GB6J003818+122737	665	17.430	0	0.000000	9.575074	12.458670	-50.2849
GB6J003823+413706	1144	20.332	1	1.353000	9.603518	41.618336	-21.1874
GB6J003826+171320	38	19.442	0	0.000000	9.608212	17.219459	-45.5402
GB6J003828+185620	83	19.538	1	1.193000	9.620394	18.938251	-43.8266
GB6J003831+293154	35	22.625	0	0.000000	9.630773	29.539164	-33.2483
GB6J003839+234443	56	19.746	0	0.000000	9.661838	23.742498	-39.0356
GB6J003918+031940	637	16.234	0	0.000000	9.827429	3.331256	-59.4002
GB6J003922+160531	130	19.157	1	0.709910	9.844454	16.089691	-46.6831
GB6J003940+141200	422	24.802	6	1.738000	9.915083	14.199312	-48.5737
GB6J004012+075829	31	20.528	1	2.599330	10.053583	7.970056	-54.7965
GB6J004012+222816	36	21.743	0	0.000000	10.050769	22.465332	-40.3321
GB6J004013+012553	188	18.612	0	0.000000	10.056355	1.429523	-61.3149
GB6J004018+094220	219	19.285	0	0.000000	10.076270	9.711602	-53.0614
GB6J004030+270841	33	19.831	1	2.456830	10.129614	27.135281	-35.6731
GB6J004049+195336	30	18.371	0	0.000000	10.205407	19.889988	-42.9115
GB6J004112+073653	105	20.480	1	3.024291	10.301372	7.614149	-55.1693
GB6J004115+321114	278	20.700	0	0.000000	10.316402	32.185436	-30.6369
GB6J004115+341031	31	18.078	0	0.000000	10.311506	34.169804	-28.6544
GB6J004118+133936	163	22.971	0	0.000000	10.321715	13.657635	-49.1398
GB6J004129+225533	66	18.838	0	0.000000	10.372146	22.925697	-39.8884
GB6J004154+245829	117	19.007	0	0.000000	10.481186	24.978199	-37.8431
GB6J004155+215448	33	21.904	4	0.648340	10.489915	21.906414	-40.9118
GB6J004205+231952	1604	20.646	1	1.426000	10.518953	23.333656	-39.4875
GB6J004210+132704	38	21.825	0	0.000000	10.548731	13.456052	-49.3538
GB6J004214+150923	142	20.691	1	1.159000	10.556660	15.154277	-47.6584
GB6J004244+100959	250	22.182	1	1.657000	10.684881	10.163658	-52.6485
GB6J004248+161022	50	19.255	1	1.456280	10.695737	16.173056	-46.6478
GB6J004304+205730	132	18.581	4	0.140610	10.764667	20.956947	-41.8721
GB6J004311+165312	35	19.261	0	0.000000	10.804340	16.888523	-45.9381
GB6J004312+344648	39	22.469	0	0.000000	10.808948	34.768837	-28.0725
GB6J004330+002502	95	19.263	1	1.128000	10.886297	0.416616	-62.3898
GB6J004333+222329	90	19.217	0	0.000000	10.890454	22.396263	-40.4389
GB6J004348+342617	58	19.915	1	0.966000	10.953524	34.440590	-28.4047
GB6J004352+242410	30	17.776	5	0.083000	10.967390	24.405983	-38.4335
GB6J004357+283845	31	19.551	0	0.000000	10.999479	28.650589	-34.1927
GB6J004403+332357	32	17.477	0	0.000000	11.018066	33.396633	-29.4499
GB6J004404+010205	152	18.158	4	0.111730	11.019452	1.031355	-61.7847
GB6J004408+142653	83	22.002	0	0.000000	11.035370	14.448463	-48.3856
GB6J004415+111854	41	21.688	4	0.533570	11.062442	11.318475	-51.5138
GB6J004421+285824	55	22.336	0	0.000000	11.089808	28.976070	-33.8700
GB6J004430+060232	40	21.344	0	0.000000	11.103822	6.050522	-56.7778
GB6J004434+013448	47	21.534	1	0.839110	11.141270	1.580399	-61.2437
GB6J004435+391956	68	22.122	0	0.000000	11.156422	39.329968	-23.5228
GB6J004441+185541	149	21.208	0	0.000000	11.175960	18.918068	-43.9248
GB6J004441+383009	66	20.176	0	0.000000	11.173441	38.499447	-24.3533
GB6J004511+321838	52	21.700	0	0.000000	11.296393	32.309116	-30.5440
GB6J004518+212745	49	16.800	6	0.000000	11.330420	21.461126	-41.3881
GB6J004543+243805	41	20.876	1	0.529130	11.430919	24.633572	-38.2198
GB6J004544+121706	62	17.552	6	0.000000	11.430590	12.286616	-50.5607
GB6J004607+245627	206	17.745	0	0.000000	11.532623	24.942391	-37.9136
GB6J004612+044333	119	21.687	0	0.000000	11.552334	4.724952	-58.1218
GB6J004648+390033	200	20.874	1	0.958000	11.698244	39.013100	-23.8497
GB6J004704+353915	39	18.999	0	0.000000	11.765667	35.656177	-27.2071
GB6J004707+124443	57	21.445	0	0.000000	11.778654	12.747674	-50.1103
GB6J004709+201733	79	16.933	6	0.000000	11.790853	20.291525	-42.5689
GB6J004716+170454	63	21.624	0	0.000000	11.822695	17.084347	-45.7760
GB6J004734+251242	96	22.890	0	0.000000	11.892326	25.214559	-37.6489
GB6J004735+180037	36	19.639	0	0.000000	11.903386	18.000643	-44.8616
GB6J004743+243503	317	19.646	1	0.620000	11.932815	24.587801	-38.2762
GB6J004755+394843	54	17.655	6	0.252000	11.980102	39.816006	-23.0507
GB6J004802+223453	53	18.591	1	1.161000	12.010915	22.590058	-40.2749
GB6J004803+141352	32	22.521	0	0.000000	12.012345	14.231258	-48.6323
GB6J004808+352218	36	19.995	0	0.000000	12.036723	35.369434	-27.4975
GB6J004822+230126	39	20.215	0	0.000000	12.095414	23.044909	-39.8214
GB6J004823+081057	37	22.108	0	0.000000	12.098243	8.180867	-54.6832
GB6J004837+163101	70	19.553	0	0.000000	12.155358	16.523006	-46.3434
GB6J004839+121356	58	20.131	1	2.484910	12.162500	12.230689	-50.6352
GB6J004847+183809	88	18.024	0	0.000000	12.194672	18.640043	-44.2272
GB6J004847+315718	302	15.758	4	0.015000	12.196431	31.956970	-30.9114
GB6J004858+064005	211	19.399	0	0.000000	12.244678	6.668456	-56.1981
GB6J004901+225311	241	18.344	4	0.264150	12.255704	22.887602	-39.9807
GB6J004943+023650	294	18.541	6	0.000000	12.430150	2.617716	-60.2511
GB6J005014+325523	75	18.887	0	0.000000	12.561733	32.923149	-29.9479
GB6J005042+154318	32	19.636	0	0.000000	12.671770	15.721075	-47.1503
GB6J005113+383823	39	21.993	0	0.000000	12.798778	38.644108	-24.2276
GB6J005131+013105	41	19.644	4	0.298250	12.889155	1.519315	-61.3524
GB6J005138+021532	87	22.567	0	0.000000	12.915194	2.261717	-60.6100
GB6J005144+144035	33	20.375	0	0.000000	12.938979	14.675181	-48.1965
GB6J005158+042728	69	19.666	0	0.000000	12.995809	4.461143	-58.4103
GB6J005206+003550	88	16.389	1	0.399640	13.023213	0.593932	-62.2774
GB6J005219+162546	60	17.690	0	0.000000	13.080843	16.436909	-46.4343
GB6J005234+292106	109	21.713	0	0.000000	13.143550	29.351082	-33.5200
GB6J005235+163256	186	22.600	0	0.000000	13.150685	16.550121	-46.3207
GB6J005245+134933	67	22.755	0	0.000000	13.191684	13.829730	-49.0408
GB6J005250+153829	50	22.276	0	0.000000	13.219005	15.639925	-47.2304
GB6J005339+342325	73	19.504	1	2.155020	13.420127	34.391262	-28.4782
GB6J005352+424932	34	23.036	0	0.000000	13.465197	42.826588	-20.0429
GB6J005357+190242	36	22.343	0	0.000000	13.489395	19.044104	-43.8236
GB6J005357+275449	40	21.552	0	0.000000	13.486868	27.910545	-34.9579
GB6J005402+155939	45	19.845	0	0.000000	13.513149	15.996863	-46.8702
GB6J005414+384206	92	16.973	0	0.000000	13.557313	38.703964	-24.1645
GB6J005421+153440	97	18.764	0	0.000000	13.590655	15.574248	-47.2916
GB6J005436+255002	137	21.263	0	0.000000	13.650355	25.834547	-37.0317
GB6J005448+405535	96	20.893	0	0.000000	13.702944	40.927597	-21.9397
GB6J005453+015114	42	20.974	0	0.000000	13.725697	1.862906	-60.9968
GB6J005500+331010	63	22.217	0	0.000000	13.748752	33.168812	-29.6970
GB6J005504+140802	91	19.519	1	1.666010	13.764680	14.135149	-48.7273
GB6J005505+075529	103	19.533	0	0.000000	13.778319	7.923718	-54.9367
GB6J005517+044410	58	21.293	0	0.000000	13.825964	4.735692	-58.1224
GB6J005529+354443	32	18.163	0	0.000000	13.877443	35.743103	-27.1213
GB6J005544+285515	65	22.457	0	0.000000	13.933353	28.917564	-33.9447
GB6J005545+084956	34	19.581	1	0.981080	13.941883	8.840879	-54.0156
GB6J005550+421427	31	21.730	0	0.000000	13.954760	42.229179	-20.6352
GB6J005606+211046	35	21.707	0	0.000000	14.039079	21.178427	-41.6798
GB6J005614+134114	83	22.512	0	0.000000	14.061736	13.687714	-49.1673
GB6J005620+314215	59	22.475	0	0.000000	14.094210	31.702543	-31.1574
GB6J005642+173303	37	20.911	1	0.644220	14.162072	17.564541	-45.2894
GB6J005652+130725	45	20.613	0	0.000000	14.224238	13.119528	-49.7304
GB6J005655+065248	31	22.590	0	0.000000	14.242083	6.870500	-55.9749
GB6J005655+162510	347	21.023	6	0.206000	14.230393	16.420366	-46.4311
GB6J005703+405949	46	19.270	0	0.000000	14.267626	40.998756	-21.8605
GB6J005718+080559	183	21.418	0	0.000000	14.328197	8.093590	-54.7494
GB6J005733+221837	97	21.613	0	0.000000	14.388845	22.311481	-40.5382
GB6J005740+041810	61	20.912	0	0.000000	14.421617	4.306321	-58.5292
GB6J005747+100651	62	19.151	0	0.000000	14.448753	10.110874	-52.7290
GB6J005748+302114	914	15.358	0	0.000000	14.453696	30.352457	-32.4991
GB6J005815+321119	55	20.080	0	0.000000	14.565057	32.188805	-30.6607
GB6J005822+193705	57	19.346	0	0.000000	14.592030	19.617329	-43.2243
GB6J005825+032932	41	18.881	0	0.000000	14.610927	3.486007	-59.3391
GB6J005832+062020	222	21.036	1	0.592000	14.640856	6.335023	-56.4923
GB6J005832+331107	152	20.967	1	1.369000	14.633638	33.188118	-29.6601
GB6J005854+124615	37	20.215	0	0.000000	14.726012	12.764854	-50.0658
GB6J005913+112143	49	19.242	0	0.000000	14.805479	11.357083	-51.4683
GB6J005924+270335	68	16.958	0	0.000000	14.851750	27.059057	-35.7788
GB6J005935+122051	81	18.151	0	0.000000	14.899768	12.348566	-50.4735
GB6J005944+123010	63	22.758	0	0.000000	14.929001	12.495128	-50.3257
GB6J005951+045106	62	19.446	0	0.000000	14.954763	4.845045	-57.9626
GB6J005958+112147	90	20.762	0	0.000000	14.996809	11.361595	-51.4543
GB6J010008+030525	115	21.266	0	0.000000	15.038102	3.086759	-59.7119
GB6J010020+074546	101	21.375	4	0.464570	15.086619	7.764284	-55.0408
GB6J010022+283044	137	21.778	0	0.000000	15.093058	28.510452	-34.3201
GB6J010025+014438	43	19.754	0	0.000000	15.100848	1.745993	-61.0451
GB6J010033+002153	59	17.790	1	0.752430	15.139595	0.366722	-62.4177
GB6J010037+334513	119	19.681	1	2.144000	15.159558	33.751709	-29.0809
GB6J010054+195812	80	21.754	0	0.000000	15.226910	19.975550	-42.8404
GB6J010106+203738	70	20.274	1	2.376380	15.279744	20.620621	-42.1936
GB6J010111+032436	30	17.136	0	0.000000	15.307204	3.407551	-59.3729
GB6J010115+060530	88	21.165	0	0.000000	15.311128	6.095699	-56.6914
GB6J010153+253641	52	20.345	0	0.000000	15.475842	25.612774	-37.1988
GB6J010157+163935	214	19.917	0	0.000000	15.490498	16.661377	-46.1360
GB6J010205+062730	37	21.156	0	0.000000	15.520994	6.461523	-56.3115
GB6J010208+040315	46	20.627	1	2.740320	15.538173	4.055799	-58.7088
GB6J010227+421414	121	18.667	1	0.874000	15.613139	42.238609	-20.5866
GB6J010236+042030	118	19.626	0	0.000000	15.655603	4.350126	-58.4059
GB6J010239+002207	38	20.769	0	0.000000	15.670150	0.362106	-62.3770
GB6J010256+101300	79	18.949	0	0.000000	15.727299	10.215291	-52.5530
GB6J010300+183125	67	20.786	0	0.000000	15.767736	18.526928	-44.2578
GB6J010313+013254	56	21.545	0	0.000000	15.806517	1.551728	-61.1799
GB6J010320+131951	57	21.452	1	2.669840	15.837613	13.326398	-49.4422
GB6J010323+043817	53	17.304	0	0.000000	15.851814	4.635386	-58.1049
GB6J010327+152607	199	18.319	4	0.246000	15.858341	15.440186	-47.3321
GB6J010336+280442	41	22.067	0	0.000000	15.898054	28.082115	-34.7126
GB6J010341+423925	149	17.504	0	0.000000	15.916890	42.659901	-20.1550
GB6J010348+270725	61	18.927	4	0.207870	15.962750	27.110750	-35.6790
GB6J010354+073731	32	20.291	1	0.858800	15.988040	7.623813	-55.1160
GB6J010408+294856	77	18.887	0	0.000000	16.034682	29.818247	-32.9725
GB6J010427+091659	42	18.876	0	0.000000	16.124414	9.281814	-53.4525
GB6J010432+075217	35	24.398	0	0.000000	16.143293	7.863352	-54.8640
GB6J010522+284443	50	21.582	0	0.000000	16.348448	28.747211	-34.0245
GB6J010540+100612	54	21.221	0	0.000000	16.420688	10.106009	-52.6058
GB6J010550+325426	42	18.930	4	0.179670	16.457164	32.904282	-29.8701
GB6J010556+191229	190	20.863	1	0.878670	16.480172	19.207800	-43.5312
GB6J010559+060052	112	19.191	0	0.000000	16.496548	6.016479	-56.6689
GB6J010559+340200	245	24.139	1	0.579000	16.501200	34.034180	-28.7402
GB6J010608+204432	32	20.187	0	0.000000	16.533013	20.741923	-41.9978
GB6J010610+253928	214	18.999	4	0.199000	16.545689	25.658466	-37.0940
