classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J140517+341856	138	19.31	1	2.90322	211.327286	34.315071	72.609	61.8433	0.066	19.255785281304334
GB6J140654+343328	204	18.711	1	2.56	211.724353	34.56036	72.2185	62.2473	0.067	18.65596384617258
GB6J140812+561327	309	18.623	1	2.01666	212.053943	56.225693	57.8103	102.8664	0.063	18.571249586699594
GB6J141031+614138	127	18.797	1	2.24751	212.629123	61.693588	52.9972	107.4763	0.092	18.72142796787877
GB6J141107+003604	205	18.453	1	1.72233	212.78266	0.602	57.2953	342.0297	0.162	18.319927508656093
GB6J141152+430022	109	20.142	1	3.224336	212.969942	43.00663	67.2445	82.3869	0.051	20.10010680828062
GB6J141155+341516	147	18.357	1	1.8188	212.98027	34.252804	71.3308	60.275	0.075	18.295392365118563
GB6J141203+125716	109	19.482	1	2.42748	213.014302	12.957119	66.4135	359.9866	0.085	19.412178013801036
GB6J141319+450527	150	19.28	1	3.112	213.3286	45.089726	65.7262	86.0215	0.036	19.25042833525691
GB6J141528+370619	381	17.623	1	2.37018	213.868604	37.105877	69.6673	67.5579	0.043	17.587678289334644
GB6J141708+460659	797	17.621	1	1.554	214.283996	46.118179	64.5481	86.8333	0.041	17.587321159598147
GB6J141918+075926	58	19.76	1	3.049049	214.83161	7.991842	61.7298	354.4043	0.118	19.663070654453204
GB6J142037+471431	45	19.386	1	3.238267	215.150285	47.242367	63.3619	87.8775	0.068	19.33014241104083
GB6J142122+464551	223	18.078	1	1.668	215.346136	46.763329	63.5725	86.869	0.058	18.030356762358355
GB6J142330+120005	571	17.876	1	1.61268	215.875425	11.997567	63.6414	2.4056	0.093	17.799606532747017
GB6J142436+225551	548	15.409	1	3.62	216.158724	22.933496	68.5098	26.8364	0.179	15.261963111416302
GB6J142822+563601	88	19.201	1	2.12955	217.103148	56.603123	55.8292	99.2028	0.068	19.14514241104083
GB6J142921+540613	716	19.905	1	3.013	217.341156	54.103092	57.5959	95.9691	0.057	19.85817819749011
GB6J143009+104340	1194	18.525	1	1.705	217.540569	10.724128	61.5711	2.4516	0.11	18.43464213550722
GB6J143533+543605	86	20.054	1	3.80977	218.890743	54.599808	56.6095	95.4194	0.062	20.003071021831342
GB6J143646+633645	757	16.987	1	2.068	219.190836	63.610519	49.7291	105.1739	0.071	16.92867810564557
GB6J143708+040536	127	18.188	1	2.025	219.28412	4.092871	55.8442	355.1751	0.139	18.0738205166864
GB6J143721+511259	117	19.559	1	2.15733	219.3325	51.213718	58.7023	90.4157	0.055	19.513821067753614
GB6J143828+441811	265	19.298	1	2.103	219.618773	44.303356	62.5229	78.6363	0.076	19.235570929986807
GB6J143911+111749	133	18.469	1	2.58542	219.800191	11.294601	60.1512	6.1435	0.084	18.39999944893279
