classname         gbflux psfmagr flag_class        z                RA               DEC      bii       lii    a_v
GB6J021628+203249     35  20.065          0 0.000000         34.118178         20.553333 -38.0641  148.4764  0.686
GB6J021634+171429     57  19.852          0 0.000000         34.144940         17.243210 -41.0591  150.3059  0.538
GB6J021643+004528     49  22.861          0 0.000000         34.179865          0.759721 -55.3821  162.7197  0.161
GB6J021709+204611     34  22.576          0 0.000000         34.293777         20.764709 -37.8039  148.5563  0.634
GB6J021733+173846     59  23.148          0 0.000000         34.387228         17.641907 -40.5998  150.3556  0.566
GB6J021736+312329    128  21.995          0 0.000000         34.405457         31.391272 -27.9772  143.7242  0.419
GB6J021748+014451   1419  16.181          1 1.715000         34.453980          1.747136 -54.4131  162.1402  0.173
GB6J021750+002847     44  21.824          1 1.862050         34.457027          0.486156 -55.4472  163.3961  0.155
GB6J021836+004027     63  21.065          1 1.100000         34.647685          0.677556 -55.1809  163.4750  0.158
GB6J021841+314930     79  18.562          0 0.000000         34.675866         31.824129 -27.4898  143.7841  0.404
GB6J021842+164610     89  17.403          0 0.000000         34.668077         16.769814 -41.2683  151.1775  0.576
GB6J021855+170106     81  21.036          0 0.000000         34.733487         17.016552 -41.0192  151.1081  0.600
GB6J021906+012052    693  19.154          1 1.623000         34.779271          1.349958 -54.5553  162.9892  0.174
GB6J021908+285147     34  21.255          0 0.000000         34.779750         28.870806 -30.1894  145.1552  0.474
GB6J021925+072735     95  20.122          1 1.052460         34.857026          7.459545 -49.3773  157.7129  0.397
GB6J021948+223304    162  21.138          0 0.000000         34.947843         22.550964 -35.9260  148.3276  0.480
GB6J022000+165234    283  19.957          0 0.000000         35.003164         16.874607 -41.0325  151.4980  0.629
GB6J022042+064225     34  20.356          0 0.000000         35.179539          6.705269 -49.8566  158.7386  0.311
GB6J022102+134529     45  23.403          0 0.000000         35.260000         13.756611 -43.6931  153.7243  0.629
GB6J022203+305131    136  21.678          0 0.000000         35.515455         30.860512 -28.1078  144.9484  0.410
GB6J022247+074300    146  19.348          0 0.000000         35.698700          7.715878 -48.7260  158.5993  0.397
GB6J022328+055934     51  21.789          0 0.000000         35.869350          5.990746 -50.0954  160.2329  0.273
GB6J022354+192555     64  20.797          0 0.000000         35.981240         19.430439 -38.3301  151.1013  0.811
GB6J022418+125246     40  21.277          0 0.000000         36.079001         12.883763 -44.0779  155.2749  0.571
GB6J022427+065927    989  19.051          1 0.511000         36.118448          6.989808 -49.1207  159.7225  0.317
GB6J022512+040711     79  19.798          1 0.855850         36.307590          4.123446 -51.4065  162.4451  0.185
GB6J022520+212337     31  20.111          0 0.000000         36.331258         21.390411 -36.4276  150.3787  0.581
GB6J022534+225854     95  21.125          0 0.000000         36.396857         22.980192 -34.9712  149.5902  0.538
GB6J022632+231131     51  19.762          0 0.000000         36.630296         23.190331 -34.6886  149.7144  0.542
GB6J022744+224822     37  20.570          0 0.000000         36.934844         22.809506 -34.9075  150.2249  0.610
GB6J022948+224435     84  21.211          0 0.000000         37.448695         22.742586 -34.7557  150.7777  0.662
GB6J023005+215901     64  20.407          0 0.000000         37.517900         21.985581 -35.4015  151.2666  0.696
GB6J023030+211241     98  20.666          0 0.000000         37.622899         21.212274 -36.0441  151.8100  0.610
GB6J023056+065115     62  18.984          0 0.000000         37.737794          6.851325 -48.3517  161.8733  0.346
GB6J023101+260618     86  19.366          0 0.000000         37.756251         26.105997 -31.6193  149.2876  0.480
GB6J023108+005650     60  19.154          1 0.246850         37.788753          0.950981 -53.0716  167.4754  0.108
GB6J023122+201919     84  19.090          0 0.000000         37.841985         20.322758 -36.7363  152.5492  0.562
GB6J023155+230211     32  23.192          0 0.000000         37.985105         23.030949 -34.2744  151.1532  0.682
GB6J023157+022148     34  20.586          0 0.000000         37.981986          2.376484 -51.8314  166.2793  0.128
GB6J023209+231323     92  19.929          0 0.000000         38.042372         23.222496 -34.0799  151.1039  0.662
GB6J023220+231752    444  20.119          0 0.000000         38.086495         23.299118 -33.9933  151.1052  0.658
GB6J023228+262840    435  19.024          0 0.000000         38.115102         26.477386 -31.1440  149.4334  0.504
GB6J023229+200737     47  18.431          0 0.000000         38.113975         20.120153 -36.7946  152.9494  0.557
GB6J023239+041249     72  19.426          0 0.000000         38.170005          4.207641 -50.2577  164.7602  0.210
GB6J023248+201703     50  17.559          6 0.139000         38.202571         20.288191 -36.6072  152.9413  0.557
GB6J023256+260953     53  18.605          0 0.000000         38.234850         26.161932 -31.3787  149.7101  0.504
GB6J023300+312539     44  20.468          0 0.000000         38.254613         31.426170 -26.6349  147.0989  0.504
GB6J023325+311503     50  22.753          0 0.000000         38.358486         31.250538 -26.7557  147.2728  0.533
GB6J023407+044647    370  18.216          0 0.000000         38.529811          4.778624 -49.5853  164.6805  0.245
GB6J023428+282221     36  20.636          0 0.000000         38.616253         28.372759 -29.2479  148.9223  0.523
GB6J023531+302010    152  21.746          0 0.000000         38.879360         30.333992 -27.3869  148.1725  0.619
GB6J023550+292235     31  22.640          0 0.000000         38.959171         29.360714 -28.2293  148.7291  0.562
GB6J023607+200811     47  21.036          0 0.000000         39.025690         20.136291 -36.3688  153.8745  0.547
GB6J023641+020223     46  22.430          0 0.000000         39.176958          2.046889 -51.3472  168.1146  0.132
GB6J023714+052639    190  19.180          1 0.561000         39.308492          5.447204 -48.5859  165.0212  0.323
GB6J023741+015840     74  15.847          0 0.000000         39.424081          1.975319 -51.2461  168.4926  0.136
GB6J023751+204610    121  19.838          0 0.000000         39.460955         20.771791 -35.6151  153.9303  0.590
GB6J023752+284814   2794  18.058          1 1.206000         39.468359         28.802498 -28.5282  149.4660  0.552
GB6J023820+070530     64  21.836          0 0.000000         39.582771          7.093453 -47.0992  163.8921  0.476
GB6J023907+040544     52  20.490          0 0.000000         39.782789          4.088223 -49.3758  166.8536  0.242
GB6J023918+025116     91  19.916          0 0.000000         39.828379          2.853276 -50.3110  168.1065  0.164
GB6J023925+010614     42  15.770          0 0.000000         39.848489          1.093792 -51.6479  169.9238  0.153
GB6J023944+070009     84  20.990          0 0.000000         39.930242          7.002421 -46.9689  164.3792  0.457
GB6J023950+041626   1061  17.805          1 0.978000         39.963590          4.272612 -49.1194  166.8956  0.278
GB6J024236+013559     38  16.690          0 0.000000         40.643685          1.596246 -50.7482  170.3604  0.170
GB6J024250+062841     68  17.403          0 0.000000         40.713265          6.476495 -46.9217  165.7526  0.456
GB6J024444+281857     31  18.714          0 0.000000         41.180738         28.319366 -28.2538  151.2343  0.576
GB6J024519+304539     57  22.108          0 0.000000         41.329647         30.757704 -26.0474  150.0587  0.773
GB6J024522+320506     78  18.689          0 0.000000         41.348273         32.090386 -24.8636  149.3805  0.701
GB6J024630+334529     38  22.337          0 0.000000         41.626289         33.753265 -23.2843  148.7558  0.455
GB6J024644+061340     41  20.055          0 0.000000         41.690605          6.232393 -46.5153  167.0878  0.436
GB6J024712+201107     54  21.329          0 0.000000         41.803244         20.178358 -35.0109  156.6158  0.557
GB6J024742+325432    159  19.029          0 0.000000         41.921800         32.908833 -23.9139  149.4264  0.600
GB6J024815+043439    160  15.488          0 0.000000         42.061783          4.578013 -47.5612  169.0455  0.324
GB6J024917+061957    620  17.969          1 1.881000         42.325068          6.331098 -46.0428  167.7089  0.590
GB6J025002+011400     39  21.065          0 0.000000         42.513277          1.235672 -49.7660  172.9111  0.304
GB6J025034+213311     39  19.576          0 0.000000         42.650904         21.551172 -33.4269  156.5531  0.960
GB6J025101+280757     81  19.438          0 0.000000         42.756754         28.128090 -27.7396  152.7112  0.624
GB6J025133+324055     46  20.526          0 0.000000         42.891555         32.687054 -23.7174  150.3245  0.662
GB6J025323+023821     48  20.311          0 0.000000         43.340370          2.633175 -48.1789  172.3888  0.452
GB6J025327+192352     32  22.632          0 0.000000         43.371375         19.393167 -34.8781  158.6485  0.931
GB6J025333+321726    105  20.671          0 0.000000         43.390209         32.289131 -23.8579  150.9384  0.749
GB6J025338+280005     38  20.243          0 0.000000         43.406017         27.996201 -27.5636  153.3445  0.653
GB6J025354+041536     34  22.300          0 0.000000         43.474728          4.263529 -46.8788  170.9183  0.368
GB6J025359+362539     63  16.330          4 0.047600         43.500191         36.431080 -20.1997  148.8399  0.518
GB6J025418+333433     77  19.059          0 0.000000         43.575272         33.578983 -22.6594  150.3926  0.509
GB6J025438+005614     74  17.152          4 0.066760         43.658280          0.939425 -49.1911  174.5016  0.406
GB6J025513+003756     93  19.970          1 1.013010         43.812886          0.627947 -49.3055  175.0046  0.391
GB6J025521+190716     35  21.845          0 0.000000         43.836333         19.126858 -34.8563  159.2737  1.018
GB6J025532+024019     40  19.614          0 0.000000         43.881859          2.672959 -47.7820  172.9410  0.523
GB6J025549+053411    102  20.198          4 0.680820         43.956309          5.565294 -45.5841  170.1975  0.619
GB6J025639+190305     34  21.907          0 0.000000         44.166552         19.051298 -34.7440  159.6399  1.042
GB6J025706+035508     43  19.001          4 0.240190         44.271167          3.921861 -46.6011  172.1133  0.523
GB6J025743+060238   1525  15.929          0 0.000000         44.423182          6.026906 -44.9309  170.2636  0.629
GB6J025745+184705    209  20.526          4 0.427000         44.440119         18.784824 -34.8175  160.0833  0.965
GB6J025757+020929    112  18.291          0 0.000000         44.493918          2.161201 -47.7323  174.1248  0.504
GB6J025806+203006    102  19.324          6 0.000000         44.530463         20.500448 -33.3523  159.0007  1.171
GB6J025811+032447     35  18.149          4 0.091320         44.539997          3.415751 -46.7906  172.9015  0.533
GB6J025851+054053    213  19.525          1 1.380000         44.710529          5.685566 -44.9980  170.8857  0.590
GB6J025911+352804     52  19.658          0 0.000000         44.799478         35.466446 -20.5203  150.3233  0.720
GB6J025916+025150     79  18.875          0 0.000000         44.819995          2.863982 -46.9997  173.7534  0.490
GB6J025917+275030     41  21.114          0 0.000000         44.818382         27.845154 -27.0442  154.6327  0.854
GB6J025929+192548    159  17.970          1 0.545000         44.873564         19.428976 -34.0547  160.0477  0.974
GB6J030016+182903     41  21.321          0 0.000000         45.068650         18.481020 -34.7256  160.8895  0.782
GB6J030123+011838    412  19.678          1 1.221000         45.348358          1.309991 -47.7381  175.9177  0.420
GB6J030132+060232    321  18.450          0 0.000000         45.390476          6.040910 -44.2823  171.2617  0.571
GB6J030138+185257     47  20.718          0 0.000000         45.428771         18.889500 -34.1951  160.9406  0.734
GB6J030150+015442     53  20.152          0 0.000000         45.472616          1.900408 -47.2335  175.4283  0.420
GB6J030512+094354     35  21.016          0 0.000000         46.301415          9.723781 -40.9166  168.8880  1.085
GB6J030614+092612     44  18.807          0 0.000000         46.552713          9.436640 -40.9731  169.3846  1.147
GB6J030634+085750     67  19.419          0 0.000000         46.652015          8.964141 -41.2653  169.8943  1.243
GB6J030757+103606     74  20.344          0 0.000000         46.993554         10.597454 -39.8099  168.8230  1.181
GB6J030819+093804     65  23.210          0 0.000000         47.075064          9.635249 -40.4852  169.7258  1.234
GB6J030945+095235     64  20.316          0 0.000000         47.440463          9.881086 -40.0630  169.8684  1.272
GB6J031044+180414     77  20.577          0 0.000000         47.686525         18.070282 -33.5799  163.6012  0.586
GB6J031243+013258    921  18.737          1 0.664000         48.181683          1.554873 -45.5214  178.5106  0.417
GB6J031311+175027     31  22.462          0 0.000000         48.295784         17.841900 -33.4042  164.3179  0.571
GB6J031321+003610     40  22.351          0 0.000000         48.356742          0.609638 -46.0284  179.6816  0.427
GB6J031349+025242     58  23.953          0 0.000000         48.458047          2.884795 -44.4106  177.4056  0.466
GB6J031544+042136     40  21.045          0 0.000000         48.934786          4.355481 -43.0487  176.3939  0.629
GB6J031623+005907     41  21.710          0 0.000000         49.086138          0.982302 -45.2363  179.9793  0.452
GB6J031628+180342     45  18.928          0 0.000000         49.117362         18.064078 -32.7441  164.8833  0.586
GB6J031637+032417     52  19.706          0 0.000000         49.154828          3.402727 -43.5493  177.5479  0.518
GB6J031738+261051     42  21.125          0 0.000000         49.407553         26.181490 -26.1316  159.4620  0.883
GB6J031749+024844     51  21.572          1 0.748000         49.449649          2.811831 -43.7377  178.4222  0.499
GB6J031825+263648     45  21.117          0 0.000000         49.606251         26.616770 -25.6752  159.3359  0.936
GB6J031910+035353     61  21.572          0 0.000000         49.793894          3.900979 -42.7435  177.6507  0.557
GB6J031951+190138    771  19.425          4 0.296000         49.963575         19.025364 -31.4922  164.9082  0.638
GB6J031958+035613     58  17.836          0 0.000000         49.994899          3.932226 -42.5759  177.8065  0.581
GB6J032015+120311    115  20.785          0 0.000000         50.062423         12.048185 -36.7324  170.4787  1.522
GB6J032030+041431     71  20.584          0 0.000000         50.129289          4.239687 -42.2677  177.6271  0.614
GB6J032126+062931    156  20.323          0 0.000000         50.365287          6.490600 -40.5377  175.6816  0.979
GB6J032152+122123   1543  18.853          0 0.000000         50.471267         12.353876 -36.2375  170.5909  1.512
GB6J032211+175620    116  20.291          0 0.000000         50.549594         17.938021 -31.9784  166.2253  0.614
GB6J032315+044618    173  18.224          0 0.000000         50.811345          4.770165 -41.4090  177.7327  0.629
GB6J032316+183145     31  18.798          1 1.918070         50.810527         18.525349 -31.3688  166.0063  0.586
GB6J032320+173034     34  18.642          0 0.000000         50.852576         17.512043 -32.1183  166.8095  0.624
GB6J032526+142249     39  19.378          0 0.000000         51.353059         14.382611 -34.1580  169.7021  1.162
GB6J032712+170229     33  19.111          0 0.000000         51.800633         17.048641 -31.8784  167.9748  0.653
GB6J032759+004411    186  18.159          1 1.357000         51.996732          0.739649 -43.1854  182.8807  0.509
GB6J032813+051111     47  23.662          0 0.000000         52.061487          5.186434 -40.2127  178.4484  0.806
GB6J032933+132810     44  20.022          0 0.000000         52.384372         13.463439 -34.1568  171.3444  1.358
GB6J033020+183924     53  17.965          0 0.000000         52.590112         18.656527 -30.1734  167.3996  0.701
GB6J033028+072047     60  21.408          0 0.000000         52.619566          7.349281 -38.3314  176.8947  1.109
GB6J033042+043922     33  21.567          0 0.000000         52.682977          4.667962 -40.1022  179.4951  0.830
GB6J033056+134023     37  22.352          0 0.000000         52.736220         13.672791 -33.7699  171.4716  1.349
GB6J033201+173604    121  19.417          0 0.000000         53.008128         17.600489 -30.7010  168.5564  0.648
GB6J033226+045720     45  22.370          0 0.000000         53.111519          4.955209 -39.5923  179.5867  0.936
GB6J033256+062707     48  18.452          0 0.000000         53.231889          6.449860 -38.5006  178.2632  1.075
GB6J033453+080010    358  23.059          1 1.982000         53.722161          8.004015 -37.0871  177.2396  1.282
GB6J033550+073609     32  22.470          0 0.000000         53.965369          7.595137 -37.1892  177.8210  1.229
GB6J033704+091859     42  21.348          0 0.000000         54.263555          9.311423 -35.8010  176.5130  1.469
GB6J033712+082954    131  20.382          0 0.000000         54.303947          8.494517 -36.3316  177.2830  1.301
GB6J033807+154448     57  16.223          0 0.000000         54.528648         15.744684 -31.0737  171.2709  1.080
GB6J034028+045823     32  21.471          0 0.000000         55.103281          4.974550 -38.0848  181.2436  0.907
GB6J034056+154753     71  22.502          0 0.000000         55.232885         15.801172 -30.5629  171.7937  1.219
GB6J034230+072534     31  18.170          0 0.000000         55.629845          7.431112 -36.0762  179.3530  1.003
GB6J034423+155934    313  19.944          1 2.276000         56.096556         15.995381 -29.8429  172.3230  1.334
GB6J034506+145355    517  20.833          1 1.556000         56.276736         14.897097 -30.4976  173.3626  1.325
GB6J034810+084215    207  22.756          0 0.000000         57.043405          8.702464 -34.1855  179.3233  0.936
GB6J034857+163100     30  21.859          0 0.000000         57.234574         16.514626 -28.7037  172.7894  1.310
GB6J035109+144247     31  21.049          0 0.000000         57.797116         14.706643 -29.5774  174.7049  1.325
GB6J035424+044110    444  19.409          0 0.000000         58.600541          4.685355 -35.5773  184.2894  1.013
GB6J035449+142108     31  18.771          0 0.000000         58.714134         14.355734 -29.1728  175.6970  1.306
GB6J035546+052916     54  20.348          0 0.000000         58.947068          5.488589 -34.8069  183.7836  0.970
GB6J035547+150413     51  20.028          0 0.000000         58.952998         15.069999 -28.5163  175.2814  1.277
GB6J035758+003813     55  20.476          0 0.000000         59.491099          0.637051 -37.3033  188.9746  1.056
GB6J035813+154630     57  19.502          0 0.000000         59.551613         15.774416 -27.6137  175.1451  1.224
GB6J035924+143357     55  19.759          0 0.000000         59.839200         14.565866 -28.2296  176.3631  1.248
GB6J040207+140548     48  17.922          0 0.000000         60.525906         14.092506 -28.0533  177.2673  1.171
GB6J040440+130002     55  19.581          0 0.000000         61.173756         13.001843 -28.3019  178.6679  1.200
GB6J040503+143340     54  21.860          0 0.000000         61.264758         14.562568 -27.2060  177.4082  1.262
GB6J040526+152905     36  20.244          0 0.000000         61.356025         15.483098 -26.5278  176.7034  1.363
GB6J040738+001713     40  19.656          1 3.700000         61.902538          0.290628 -35.5250  191.0439  0.989
GB6J041121+005741     79  22.036          0 0.000000         62.842670          0.967732 -34.3668  191.0086  0.989
GB6J041223+061648     36  20.840          0 0.000000         63.090427          6.285652 -31.0625  186.0455  0.883
GB6J041232+001040    155  21.648          1 1.130000         63.139407          0.180139 -34.5620  192.0015  0.888
GB6J041238+043748    233  19.761          1 1.081000         63.159120          4.635015 -31.9914  187.6483  0.998
GB6J041245+063821    182  18.300          0 0.000000         63.190427          6.640111 -30.7696  185.7856  0.821
GB6J041316+212023     34  22.395          0 0.000000         63.320696         21.348221 -21.2044  173.3255  1.459
GB6J041322+165952     80  16.984          0 0.000000         63.343034         16.997528 -24.0957  176.8489  1.435
GB6J041327+190302     56  22.747          0 0.000000         63.366580         19.054127 -22.7147  175.1881  1.512
GB6J041418+151657     66  20.100          0 0.000000         63.572831         15.283324 -25.0504  178.4332  1.358
GB6J041422+143052     52  20.822          0 0.000000         63.594596         14.515109 -25.5319  179.0957  1.382
GB6J041652+010543     74  16.955          6 0.287000         64.218729          1.089977 -33.1590  191.8146  0.629
GB6J041717+050720     40  22.493          0 0.000000         64.319322          5.124179 -30.7688  187.9813  0.883
GB6J041751+044505     30  20.806          0 0.000000         64.469458          4.734611 -30.8751  188.4512  0.893
GB6J041843+054351     57  20.732          0 0.000000         64.677236          5.727311 -30.1262  187.6576  0.878
GB6J041916+054628     52  21.861          0 0.000000         64.827068          5.773358 -29.9785  187.7158  0.888
GB6J041958+080445     78  20.358          0 0.000000         64.996684          8.077379 -28.4739  185.7069  0.974
GB6J042242+003022     55  18.887          0 0.000000         65.674360          0.505789 -32.2662  193.3472  0.443
GB6J042446+003605    879  14.167          6 0.000000         66.195180          0.601760 -31.7770  193.5863  0.454
GB6J042457+080533    163  19.871          1 3.085000         66.240012          8.088152 -27.4799  186.5293  0.888
GB6J042457+163231     53  19.128          0 0.000000         66.235707         16.535849 -22.2835  179.1824  1.339
GB6J042550+011400     47  21.713          0 0.000000         66.459333          1.231667 -31.2124  193.1354  0.595
GB6J042633+184321    107  22.968          0 0.000000         66.638360         18.719259 -20.5936  177.6408  1.435
GB6J042653+182708     69  21.247          0 0.000000         66.722588         18.448004 -20.7061  177.9180  1.416
GB6J042752+084004     63  20.778          0 0.000000         66.967270          8.656135 -26.5638  186.4941  1.051
GB6J042834+173228    175  18.225          1 3.317000         67.148473         17.539888 -20.9719  178.9432  1.310
GB6J042903+091901     53  20.867          0 0.000000         67.260711          9.313681 -25.9406  186.0951  1.171
GB6J042928+181549    130  20.561          0 0.000000         67.371469         18.264496 -20.3484  178.4881  1.397
GB6J042939+085443     40  19.951          0 0.000000         67.416988          8.916651 -26.0513  186.5528  1.070
GB6J043026+085932     47  18.607          0 0.000000         67.611430          9.004004 -25.8447  186.6004  1.051
GB6J043151+083051    136  20.244          0 0.000000         67.961462          8.515838 -25.8514  187.2652  0.878
GB6J043222+072940     47  22.398          0 0.000000         68.086653          7.492120 -26.3460  188.2728  0.802
GB6J043336+005056     35  21.920          0 0.000000         68.399878          0.850576 -29.7853  194.7238  0.357
GB6J043856+095418    163  17.103          0 0.000000         69.741783          9.892521 -23.6210  187.1624  0.984
GB6J044026+004402     94  20.419          0 0.000000         70.109024          0.732360 -28.3982  195.8744  0.384
GB6J044230+001136    185  19.317          0 0.000000         70.625990          0.194181 -28.2385  196.7024  0.352
GB6J044315+003944     52  23.013          0 0.000000         70.817663          0.658272 -27.8333  196.3666  0.480
GB6J044340+111851     65  23.071          0 0.000000         70.922971         11.313658 -21.8501  186.6406  1.181
GB6J044352+111333     73  19.849          0 0.000000         70.962503         11.232728 -21.8656  186.7358  1.176
GB6J044411+104238    403  19.710          0 0.000000         71.051946         10.713137 -22.0949  187.2474  1.147
GB6J044736+112425     38  20.295          1 2.380470         71.903351         11.403384 -21.0142  187.1593  1.186
GB6J044821+122739     50  23.169          0 0.000000         72.091627         12.465386 -20.2505  186.3466  1.186
GB6J044849+112754    365  19.316          1 1.370000         72.210052         11.465112 -20.7328  187.2903  1.186
GB6J044907+112125    794  19.954          1 2.153000         72.281963         11.357949 -20.7365  187.4274  1.190
GB6J045707+004815     58  18.065          0 0.000000         74.277806          0.809416 -24.7900  198.2108  0.455
GB6J051157+011044    513  22.166          0 0.000000         77.990048          1.180397 -21.3960  199.8934  0.509
GB6J051210+000650     52  18.967          0 0.000000         78.050666          0.109185 -21.8736  200.9270  0.528
GB6J051340+010028    368  19.344          1 2.679000         78.416798          1.006012 -21.1123  200.2833  0.566
GB6J061106+645100     55  22.155          0 0.000000         92.779434         64.852561  20.2777  149.4214  0.557
GB6J063432+641748     47  17.470          0 0.000000         98.640704         64.294716  22.4862  150.8469  0.430
GB6J063749+651520     45  19.914          0 0.000000         99.449515         65.260864  23.0779  149.9381  0.369
GB6J064257+655723     45  20.402          0 0.000000        100.755465         65.956627  23.7727  149.3490  0.339
GB6J065352+643810    124  23.071          0 0.000000        103.473910         64.637176  24.5900  151.0340  0.252
GB6J065403+650557     79  21.809          0 0.000000        103.516002         65.098473  24.7013  150.5411  0.240
GB6J065943+655532     37  22.627          0 0.000000        104.922838         65.928467  25.4295  149.7617  0.212
GB6J070503+664133     66  19.362          0 0.000000        106.266882         66.693832  26.0852  149.0189  0.232
GB6J070705+654001     47  22.065          0 0.000000        106.771681         65.667587  26.1357  150.1828  0.224
GB6J070749+662717     40  21.783          0 0.000000        106.957118         66.460114  26.3234  149.3203  0.236
GB6J070812+395228     30  19.597          0 0.000000        107.071652         39.879601  20.0312  177.4796  0.398
GB6J071551+403022     38  21.988          0 0.000000        108.965392         40.507736  21.6023  177.3335  0.381
GB6J071702+392625     37  22.180          0 0.000000        109.266329         39.432629  21.4898  178.5094  0.393
GB6J071804+665156    181  19.508          0 0.000000        109.523470         66.864815  27.3802  149.0027  0.257
GB6J072028+370647     36  18.067          4 0.120000        110.119901         37.113148  21.3972  181.1014  0.384
GB6J072201+372235    302  17.813          1 1.630000        110.505252         37.374622  21.7708  180.9386  0.345
GB6J072257+360624     66  20.277          0 0.000000        110.739169         36.105537  21.5479  182.2979  0.329
GB6J072604+391211    162  22.167          0 0.000000        111.519742         39.206482  23.0838  179.3102  0.377
GB6J072622+412438    120  19.154          1 1.801720        111.593428         41.412128  23.7642  177.0228  0.447
GB6J072732+405200     39  21.965          0 0.000000        111.887262         40.869488  23.8268  177.6596  0.386
GB6J072805+404641     34  21.122          1 2.068910        112.021179         40.777958  23.8989  177.7865  0.375
GB6J072845+364951     31  20.516          0 0.000000        112.184036         36.827366  22.8766  181.9466  0.332
GB6J072945+402622     41  19.337          0 0.000000        112.439733         40.440708  24.1114  178.2373  0.352
GB6J073048+430124     30  22.576          0 0.000000        112.700529         43.017406  24.9799  175.5617  0.348
GB6J073049+305608     37  20.862          0 0.000000        112.705085         30.934338  21.4038  188.1252  0.327
GB6J073051+404954    473  18.967          1 2.501000        112.713955         40.830784  24.4178  177.8877  0.361
GB6J073126+671843    226  18.290          0 0.000000        112.855832         67.313080  28.7043  148.5937  0.228
GB6J073135+410021     73  18.456          1 1.316000        112.890580         41.005234  24.5931  177.7423  0.365
GB6J073151+280432     47  18.095          6 0.248000        112.969673         28.075796  20.6373  191.0857  0.256
GB6J073220+455040    102  22.147          1 1.597280        113.083113         45.844486  25.9246  172.5951  0.480
GB6J073247+384100     97  21.181          1 0.604920        113.200364         38.681915  24.1860  180.2674  0.339
GB6J073255+254842    308  18.556          1 1.443000        113.234482         25.810759  20.0491  193.4322  0.286
GB6J073321+390503    100  18.303          1 0.663750        113.336835         39.084759  24.4003  179.8754  0.341
GB6J073328+351532     70  17.616          6 0.177000        113.373249         35.261860  23.3189  183.8851  0.299
GB6J073417+652808     67  19.367          0 0.000000        113.575165         65.467407  28.9162  150.7119  0.256
GB6J073459+250516     36  18.915          1 3.283020        113.745411         25.081972  20.2141  194.3339  0.282
GB6J073502+475011    511  17.318          1 0.782000        113.759637         47.835674  26.8051  170.5360  0.459
GB6J073520+342607     32  19.762          0 0.000000        113.832049         34.433994  23.4256  184.8691  0.253
GB6J073601+474425     89  20.480          1 2.262010        114.004369         47.739998  26.9468  170.6783  0.457
GB6J073613+295435    458  22.561          0 0.000000        114.056933         29.906166  22.1579  189.5888  0.299
GB6J073622+651304     72  18.191          0 0.000000        114.088747         65.220001  29.1200  151.0047  0.227
GB6J073631+284032     82  20.077          1 3.625598        114.129990         28.676899  21.8032  190.8599  0.268
GB6J073658+260449    288  18.066          1 0.997000        114.241977         26.080524  20.9915  193.5109  0.272
GB6J073710+422219     42  20.827          1 0.932150        114.301908         42.367046  25.9590  176.5826  0.301
GB6J073754+265135     71  20.566          1 1.646530        114.479063         26.863184  21.4664  192.8057  0.264
GB6J073815+393646     47  18.857          1 0.770100        114.562418         39.618999  25.4568  179.5892  0.332
GB6J073825+294609     36  21.929          0 0.000000        114.609947         29.774767  22.5667  189.8953  0.284
GB6J073845+653755     52  20.361          0 0.000000        114.687088         65.629356  29.3818  150.5449  0.222
GB6J073933+495449     55  17.900          1 0.061000        114.895205         49.910770  27.9278  168.3986  0.333
GB6J073958+310426     44  22.752          0 0.000000        114.994133         31.077032  23.3040  188.6754  0.242
GB6J074033+285247    169  19.275          1 0.711000        115.139766         28.879797  22.7048  190.9761  0.239
GB6J074038+252555     32  18.555          0 0.000000        115.156223         25.437366  21.5324  194.4701  0.266
GB6J074051+401823     46  20.965          1 2.310420        115.216184         40.302807  26.1161  178.9974  0.314
GB6J074052+671902    282  19.570          0 0.000000        115.222500         67.318954  29.6169  148.6069  0.222
GB6J074104+320611     47  17.981          4 0.179000        115.274777         32.095593  23.8523  187.7032  0.247
GB6J074109+311204   2623  16.765          1 0.631000        115.294604         31.200064  23.5870  188.6377  0.243
GB6J074127+255739     38  19.318          1 2.754000        115.373926         25.958963  21.9001  194.0193  0.274
GB6J074133+383821     45  21.462          0 0.000000        115.397365         38.638599  25.8255  180.8267  0.316
GB6J074159+454612     43  20.104          1 2.713710        115.496542         45.770077  27.5518  173.0801  0.301
GB6J074203+490018    340  21.818          6 0.000000        115.511463         49.004337  28.1665  169.4884  0.315
GB6J074235+421500    145  20.916          0 0.000000        115.646167         42.250183  26.8974  176.9716  0.321
GB6J074237+394422    123  20.150          1 2.205000        115.655780         39.743229  26.3020  179.6952  0.318
GB6J074240+374334     37  18.684          1 0.806000        115.675778         37.733906  25.7977  181.8602  0.310
GB6J074249+262227     32  18.525          0 0.000000        115.717506         26.377125  22.3349  193.7124  0.263
GB6J074308+394108    416  18.469          1 1.704480        115.791192         39.691887  26.3900  179.7797  0.317
GB6J074344+232833    196  17.733          1 0.776000        115.937384         23.477501  21.4921  196.7107  0.228
GB6J074352+505345     64  20.115          0 0.000000        115.975035         50.896843  28.7655  167.4182  0.302
GB6J074409+411708     60  18.133          1 1.456850        116.043699         41.292652  26.9636  178.0935  0.297
GB6J074411+295908     91  18.329          1 1.697100        116.050215         29.985251  23.8159  190.1216  0.235
GB6J074417+320800     63  19.280          1 1.051420        116.071930         32.134945  24.5067  187.8904  0.249
GB6J074445+211956     51  20.161          1 2.500220        116.196993         21.333450  20.9239  198.9432  0.232
