classname         gbflux psfmagr flag_class        z                RA               DEC      bii       lii    a_v
GB6J001115+144608     31  19.624          1 4.964320          2.813483         14.767168 -46.9846  108.6169  0.242
GB6J001124+242014    110  17.808          0 0.000000          2.852423         24.339558 -37.6342  111.3996  0.252
GB6J001131+005742    140  20.721          1 1.492000          2.876680          0.964396 -60.3097  102.4488  0.139
GB6J001134+082400    400  19.185          0 0.000000          2.896950          8.398763 -53.1842  106.3370  0.470
GB6J001144+292820    107  19.241          1 2.625510          2.941598         29.475163 -32.6055  112.6790  0.225
GB6J001154+083359     87  19.835          1 2.204530          2.979857          8.566758 -53.0427  106.5406  0.474
GB6J001209+071956     83  21.026          0 0.000000          3.034801          7.330902 -54.2511  106.0936  0.388
GB6J001230+175129     42  19.651          0 0.000000          3.131627         17.858326 -44.0346  110.0053  0.188
GB6J001246+335339     77  20.372          1 1.682000          3.197427         33.894016 -28.2936  113.8285  0.275
GB6J001258+020136     51  19.578          4 0.266570          3.246754          2.031008 -59.4044  103.7921  0.148
GB6J001307+205335     41  17.795          1 3.530000          3.296234         20.895204 -41.0921  111.0474  0.199
GB6J001330+283413     32  21.594          0 0.000000          3.386073         28.580866 -33.5550  112.9445  0.190
GB6J001356+191036    244  17.698          6 0.477000          3.484903         19.178307 -42.8103  110.8265  0.192
GB6J001414+055246     50  18.861          0 0.000000          3.551209          5.879764 -55.7854  106.3051  0.168
GB6J001420+085401    179  18.491          4 0.162000          3.582258          8.900566 -52.8655  107.6348  0.542
GB6J001449+364145     30  18.821          0 0.000000          3.702873         36.698872 -25.5938  114.7990  0.341
GB6J001450+385512     47  16.935          0 0.000000          3.720402         38.921825 -23.4000  115.1939  0.406
GB6J001451+173646     46  17.881          0 0.000000          3.710156         17.611731 -44.3882  110.6879  0.208
GB6J001453+180803     45  20.848          1 2.448820          3.718882         18.130287 -43.8815  110.8416  0.197
GB6J001525+080155    130  23.236          0 0.000000          3.857730          8.034503 -53.7715  107.7349  0.477
GB6J001541+170027    139  20.960          1 1.709000          3.916621         17.011291 -45.0157  110.7935  0.232
GB6J001554+040029     48  21.235          1 0.759040          3.973895          4.010962 -57.6997  106.1728  0.146
GB6J001557+111223     31  19.278          0 0.000000          3.990389         11.201132 -50.7163  109.1125  0.372
GB6J001603+244008     57  17.716          0 0.000000          4.015070         24.670773 -37.5032  112.7884  0.193
GB6J001637+034025     34  22.290          0 0.000000          4.150801          3.682099 -58.0628  106.3354  0.151
GB6J001737+145054     58  17.864          6 0.303000          4.403771         14.850528 -47.2263  110.8511  0.209
GB6J001808+225936     54  20.658          0 0.000000          4.533225         22.993458 -39.2366  113.0217  0.240
GB6J001829+031914     33  16.493          0 0.000000          4.624790          3.317588 -58.5338  107.0342  0.156
GB6J001837+041532    142  19.784          1 2.699350          4.657081          4.262309 -57.6246  107.5233  0.137
GB6J001851+290719     44  18.098          0 0.000000          4.712148         29.127602 -33.2052  114.4236  0.211
GB6J001856+264901     31  20.669          0 0.000000          4.743728         26.818213 -35.4918  114.0303  0.174
GB6J001933+145728     83  22.357          0 0.000000          4.888340         14.960547 -47.2059  111.5586  0.208
GB6J001937+295604     95  15.587          0 0.000000          4.907461         29.933868 -32.4330  114.7658  0.287
GB6J001938+202145    710  20.469          6 0.000000          4.907723         20.362659 -41.8886  112.8990  0.201
GB6J001939+260248    435  15.810          1 0.284000          4.915756         26.047874 -36.2767  114.0723  0.164
GB6J001941+115559     52  21.182          0 0.000000          4.918823         11.932254 -50.1865  110.7456  0.305
GB6J001953+264735     66  20.877          0 0.000000          4.968879         26.792236 -35.5481  114.2695  0.178
GB6J001958+332000     50  19.512          1 2.631770          4.994472         33.334076 -29.0781  115.4154  0.262
GB6J002023+102618    114  21.085          0 0.000000          5.094047         10.435578 -51.6882  110.5549  0.442
GB6J002030+132444     32  19.079          1 1.259350          5.122808         13.412746 -48.7692  111.4723  0.275
GB6J002121+155127     35  19.640          1 3.700360          5.333564         15.857155 -46.3984  112.4056  0.209
GB6J002136+105005     40  22.289          0 0.000000          5.404232         10.835528 -51.3532  111.1578  0.360
GB6J002142+354641     31  19.301          1 2.732940          5.428653         35.783237 -26.6990  116.1878  0.322
GB6J002155+232557     69  19.832          0 0.000000          5.484384         23.432575 -38.9398  114.2227  0.194
GB6J002230+125649     30  19.808          4 0.255110          5.630459         12.949830 -49.3122  112.0897  0.281
GB6J002233+060813    243  18.541          6 0.000000          5.635169          6.134498 -56.0105  110.0082  0.155
GB6J002233+235919     89  19.799          0 0.000000          5.639810         23.990160 -38.4087  114.5064  0.170
GB6J002238+014657     92  19.761          0 0.000000          5.659270          1.784006 -60.2671  108.3011  0.157
GB6J002242+175605     34  18.965          0 0.000000          5.671610         17.942728 -44.3930  113.3426  0.235
GB6J002302+012345     34  19.532          0 0.000000          5.778315          1.389289 -60.6784  108.3567  0.145
GB6J002305+291547     60  16.872          0 0.000000          5.768992         29.263109 -33.2011  115.5380  0.259
GB6J002320+190449     73  20.610          1 0.000000          5.838752         19.080036 -43.2932  113.8004  0.245
GB6J002331+010052     55  20.799          0 0.000000          5.881608          1.020884 -61.0606  108.3941  0.135
GB6J002339+144512     73  19.597          0 0.000000          5.914038         14.756371 -47.5762  112.9501  0.219
GB6J002342+055203     81  19.347          0 0.000000          5.929040          5.875157 -56.3223  110.4311  0.148
GB6J002344+193255     68  22.386          0 0.000000          5.930100         19.548246 -42.8429  114.0119  0.232
GB6J002353+375405     55  22.477          0 0.000000          5.971230         37.901306 -24.6505  116.9553  0.343
GB6J002401+160234     37  18.858          6 0.769960          6.005345         16.042761 -46.3195  113.3727  0.223
GB6J002402+230311     39  20.310          0 0.000000          6.005604         23.052429 -39.3842  114.7644  0.197
GB6J002412+073006     45  23.119          0 0.000000          6.051778          7.506558 -54.7429  111.1852  0.195
GB6J002427+243931    192  22.088          1 1.444000          6.113885         24.657307 -37.8073  115.1668  0.165
GB6J002444+034907     49  19.683          1 0.545000          6.188407          3.817658 -58.3906  110.1555  0.153
GB6J002504+181637     55  19.748          0 0.000000          6.269578         18.286703 -44.1376  114.1989  0.267
GB6J002511+203822     41  20.430          0 0.000000          6.294455         20.644348 -41.8062  114.6798  0.256
GB6J002549+040903     32  22.053          0 0.000000          6.458782          4.155089 -58.1114  110.7820  0.134
GB6J002554+083719    139  18.189          1 0.814170          6.476081          8.619832 -53.7203  112.2261  0.204
GB6J002641+350819    463  19.710          0 0.000000          6.673852         35.145077 -27.4528  117.2339  0.310
GB6J002700+283015     85  21.286          0 0.000000          6.752428         28.507530 -34.0567  116.4529  0.223
GB6J002705+093001    179  18.580          0 0.000000          6.774140          9.499361 -52.9000  112.9505  0.262
GB6J002715+224153    299  16.374          1 1.119000          6.814058         22.699495 -39.8307  115.6636  0.182
GB6J002718+265347     30  20.293          0 0.000000          6.813873         26.901487 -35.6584  116.2941  0.216
GB6J002726+260702     54  19.904          4 0.360000          6.862489         26.118651 -36.4410  116.2357  0.188
GB6J002747+015152     42  22.148          0 0.000000          6.956090          1.867104 -60.4519  110.9008  0.164
GB6J002802+244825     38  19.376          0 0.000000          7.016396         24.806120 -37.7608  116.2194  0.168
GB6J002812+141916     36  20.482          0 0.000000          7.053700         14.319601 -48.1707  114.4810  0.258
GB6J002819+154957     32  18.753          1 1.156570          7.079655         15.834737 -46.6723  114.8151  0.254
GB6J002829+200017    309  20.063          1 1.551700          7.124244         20.007421 -42.5380  115.6105  0.249
GB6J002830+170738     46  19.338          0 0.000000          7.125253         17.129088 -45.3944  115.1173  0.243
GB6J002833+240803     99  19.510          6 0.373000          7.142547         24.135595 -38.4401  116.2673  0.163
GB6J002838+003551     57  19.605          1 0.687000          7.165719          0.595041 -61.7407  110.8372  0.142
GB6J002845+075807    203  22.125          0 0.000000          7.191627          7.966462 -54.4781  113.2408  0.177
GB6J002853+355039     35  19.338          0 0.000000          7.216540         35.843353 -26.8037  117.8086  0.327
GB6J002903+050931    377  18.529          1 1.633000          7.264965          5.159672 -57.2620  112.5895  0.128
GB6J002912+055410     47  19.621          0 0.000000          7.306767          5.908393 -56.5293  112.8816  0.156
GB6J002913+345634   1182  20.981          4 0.516610          7.309348         34.942291 -27.7079  117.7943  0.324
GB6J002915+224304     38  19.207          0 0.000000          7.313814         22.717464 -39.8669  116.2627  0.167
GB6J002945+055443    330  18.935          1 1.314000          7.441234          5.911296 -56.5471  113.1222  0.156
GB6J003011+222815     89  20.693          0 0.000000          7.543768         22.468388 -40.1378  116.5024  0.167
GB6J003013+055530    127  19.220          0 0.000000          7.551110          5.924139 -56.5509  113.3217  0.157
GB6J003019+380343     54  18.670          0 0.000000          7.577560         38.066948 -24.6172  118.3595  0.330
GB6J003020+341556     52  21.066          0 0.000000          7.589440         34.266777 -28.4023  117.9816  0.336
GB6J003036+170459     50  21.367          0 0.000000          7.654341         17.086702 -45.4976  115.8255  0.238
GB6J003126+150729     93  20.063          1 4.290270          7.861678         15.127648 -47.4665  115.7859  0.228
GB6J003200+031059     47  22.366          0 0.000000          7.974735          3.187047 -59.3203  113.3404  0.121
GB6J003207+243917     37  22.467          0 0.000000          8.035619         24.660198 -38.0030  117.3664  0.159
GB6J003245+275856     36  20.761          0 0.000000          8.185533         27.982111 -34.7073  117.9103  0.244
GB6J003256+145621     51  19.934          1 2.521180          8.235954         14.943742 -47.6893  116.2883  0.228
GB6J003312+033546     64  19.715          0 0.000000          8.303694          3.597261 -58.9612  114.0883  0.118
GB6J003320+135420     58  21.480          0 0.000000          8.334610         13.905740 -48.7316  116.2649  0.245
GB6J003345+360044     54  18.650          0 0.000000          8.436915         36.010361 -26.7238  118.9275  0.308
GB6J003350+401359     49  19.627          0 0.000000          8.458695         40.236843 -22.5106  119.2966  0.341
GB6J003401+390023     85  21.958          0 0.000000          8.509985         39.010422 -23.7366  119.2410  0.312
GB6J003421+034809     81  19.464          0 0.000000          8.587680          3.806361 -58.7915  114.6853  0.123
GB6J003437+200755     47  18.599          0 0.000000          8.658756         20.136856 -42.5600  117.5746  0.197
GB6J003443+275423    587  18.386          1 2.964000          8.681198         27.907160 -34.8186  118.4338  0.256
GB6J003444+333020     54  19.080          1 2.227140          8.691174         33.505157 -29.2376  118.9492  0.376
GB6J003454+371205    103  20.700          0 0.000000          8.730905         37.206997 -25.5479  119.2882  0.299
